COUNTRY,RES_NDGAIN
"Afghanistan, Islamic Republic of",0.45415269480806886
Albania,0.26529324413005834
Algeria,0.1380080076020216
"Andorra, Principality of",0.5732167872867828
Angola,0.40167692042562353
Antigua and Barbuda,0.5257019724536662
Argentina,0.2923936059574044
"Armenia, Republic of",0.25595888989642507
Australia,0.48770387316848035
Austria,0.42055120390202677
"Azerbaijan, Republic of",0.2571027817202852
"Bahamas, The",0.49721804170159606
"Bahrain, Kingdom of",0.499795974998996
Bangladesh,0.5648784794910738
Barbados,0.5075292996569373
"Belarus, Republic of",0.12060995134790582
Belgium,0.44766302566847893
Belize,0.40221897334952916
Benin,0.6512688323605115
Bhutan,0.6036817503867858
Bolivia,0.3242228626437799
Bosnia and Herzegovina,0.125120047268294
Botswana,0.39836366374313414
Brazil,0.23348705150362517
Brunei Darussalam,0.5534281381767745
Bulgaria,0.24192212050926523
Burkina Faso,0.47807613899694135
Burundi,0.37688774653992324
Cabo Verde,0.41403166269276004
Cambodia,0.3803437693542841
Cameroon,0.34739593531686846
Canada,0.40699894794932073
Central African Republic,0.42334513881562574
Chad,0.5814132842727359
Chile,0.30349643832757556
"China, People's Republic of",0.42677556999087535
Colombia,0.28134958446434866
"Comoros, Union of the",0.3809005702296694
"Congo, Democratic Republic of the",0.5084279594430522
"Congo, Republic of",0.39054243242214404
Costa Rica,0.3110089407911145
"Croatia, Republic of",0.39460990918925515
Cuba,0.43991573187307026
Cyprus,0.3512708819223492
Czech Republic,0.202077995783661
Côte d'Ivoire,0.39106765876371746
Denmark,0.6480447532779395
Djibouti,0.38733613093965313
Dominica,0.46310736916181505
Dominican Republic,0.3779171179782042
Ecuador,0.3787776220288869
"Egypt, Arab Republic of",0.25950430708499017
El Salvador,0.30392027001244626
"Equatorial Guinea, Republic of",0.039678494454156235
"Eritrea, The State of",0.460812449863557
"Estonia, Republic of",0.39605271569720235
"Eswatini, Kingdom of",0.2982655613595461
"Ethiopia, The Federal Democratic Republic of",0.44789647988384756
"Fiji, Republic of",0.5434919580580782
Finland,0.4830098615631284
France,0.4029183552254081
Gabon,0.26686609077994
"Gambia, The",0.4828030916560811
Georgia,0.4131178092205815
Germany,0.46401819758059415
Ghana,0.3519754873503572
Greece,0.284715415782394
Grenada,0.40207753994254153
Guatemala,0.21816672749252522
Guinea,0.4291168115126725
Guinea-Bissau,0.5496659415535504
Guyana,0.35258591026195324
Haiti,0.3125618735664544
Honduras,0.2368123876049697
Hungary,0.28388519534825135
Iceland,0.49964307081927783
India,0.48243199885615073
Indonesia,0.3573163963550566
"Iran, Islamic Republic of",0.1998156254201433
Iraq,0.2182237937925159
Ireland,0.4533463926760841
Israel,0.32929691024262403
Italy,0.40991348739760075
Jamaica,0.338089486900921
Japan,0.5923496300497691
Jordan,0.23696393481866013
"Kazakhstan, Republic of",0.18824892726818576
Kenya,0.4210958439536829
Kiribati,0.7311955429794321
"Korea, Democratic People's Republic of",0.36156682767869147
"Korea, Republic of",0.5703174233473437
Kuwait,0.2761522028099812
Kyrgyz Republic,0.0
Lao People's Democratic Republic,0.36586046413132034
"Latvia, Republic of",0.3673674461237601
Lebanon,0.11358440010250952
"Lesotho, Kingdom of",0.2873943278192697
Liberia,0.4797679497525944
Libya,0.15884807177005486
"Liechtenstein, Principality of",1.0
"Lithuania, Republic of",0.3547493333500308
Luxembourg,0.5396610588621555
"Madagascar, Republic of",0.4810645269751206
Malawi,0.4588550658854659
Malaysia,0.28822153090715535
Maldives,0.6411788347075531
Mali,0.5417141636150349
Malta,0.24220990615240828
"Marshall Islands, Republic of the",0.6700578865478916
"Mauritania, Islamic Republic of",0.6007073275616268
Mauritius,0.424744964233523
Mexico,0.19176839458093467
"Micronesia, Federated States of",0.7327452559142542
"Moldova, Republic of",0.29759110779956816
Monaco,0.8883356498960326
Mongolia,0.24399161607101078
Montenegro,0.26679746485695416
Morocco,0.13416805920297453
"Mozambique, Republic of",0.35751021935347316
Myanmar,0.3633295004361697
Namibia,0.4096667920207204
"Nauru, Republic of",0.6490405698500107
Nepal,0.4294046400831447
"Netherlands, The",0.5623993101923727
New Zealand,0.43460140662029634
Nicaragua,0.2170923775055477
Niger,0.7279837801285727
Nigeria,0.3184889371454499
"North Macedonia, Republic of",0.25090481332131104
Norway,0.44182572928579567
Oman,0.36917269125591684
Pakistan,0.4142552809220975
"Palau, Republic of",0.6073143864995441
Panama,0.2700220720241995
Papua New Guinea,0.5003725799875817
Paraguay,0.13001768273969966
Peru,0.26395089237098324
Philippines,0.3514989673859342
"Poland, Republic of",0.24479806091600623
Portugal,0.31068971480568847
Qatar,0.3927298474810275
Romania,0.4023222069449547
Russian Federation,0.12760798918549937
Rwanda,0.6438643281641759
Samoa,0.6000742002809709
"San Marino, Republic of",0.963395570824457
Saudi Arabia,0.49458902260063103
Senegal,0.6165886343290469
"Serbia, Republic of",0.37898214457683016
Seychelles,0.6081412634153458
Sierra Leone,0.5765556488850271
Singapore,0.7753819318741829
Slovak Republic,0.32730744601130274
"Slovenia, Republic of",0.35896419852769923
Solomon Islands,0.7639655305715084
Somalia,0.5263452039870767
South Africa,0.23401059456166914
Spain,0.280906867808449
Sri Lanka,0.4333465808059765
St. Kitts and Nevis,0.7104989650812077
St. Lucia,0.26659035485926375
St. Vincent and the Grenadines,0.42638271929029453
Sudan,0.5311305378428711
Suriname,0.21334765077837917
Sweden,0.5220265897224887
Switzerland,0.398117832147876
Syrian Arab Republic,0.2511250163413414
"São Tomé and Príncipe, Democratic Republic of",0.5674329823260589
"Tajikistan, Republic of",0.07362919022466163
"Tanzania, United Republic of",0.4522754842917413
Thailand,0.37806019969574484
"Timor-Leste, Democratic Republic of",0.49991994282995483
Togo,0.4325583920728139
Tonga,0.7208334015033716
Trinidad and Tobago,0.22047232358242685
Tunisia,0.1925034079576859
Turkmenistan,0.04326813129964182
Tuvalu,0.760745501509182
"Türkiye, Republic of",0.3390233678916378
Uganda,0.46746576292586683
Ukraine,0.24108184399927912
United Arab Emirates,0.4676558830058956
United Kingdom,0.381500484190825
United States,0.4416822403257578
Uruguay,0.47631482719409324
"Uzbekistan, Republic of",0.1457880293414593
Vanuatu,0.557354450021748
"Venezuela, República Bolivariana de",0.060866067493609025
Vietnam,0.41881769343418856
"Yemen, Republic of",0.32817943094125196
Zambia,0.3578533705629436
Zimbabwe,0.2822444334320818
