Country,AI
Afghanistan,0.05756970696520381
Albania,0.46390690256991907
Algeria,0.4678027282425281
Andorra,0.42861802982189007
Angola,0.2381987795771422
Antigua and Barbuda,0.2141445004578435
Argentina,0.7133852323319988
Armenia,0.4008048185730895
Australia,0.9172218414278415
Austria,0.8297858518499326
Azerbaijan,0.5891487016563157
Bahamas,0.28452496795891496
Bahrain,0.6553403461800812
Bangladesh,0.564886162534573
Barbados,0.18231675168543118
Belarus,0.2958350421524946
Belgium,0.7872679980420839
Belize,0.1660973551975037
Benin,0.4916888930664016
Bhutan,0.40291930291525185
Bolivia (Plurinational State of),0.2353898740383651
Bosnia and Herzegovina,0.3489987411832479
Botswana,0.36884017625757
Brazil,0.8452322609972611
Brunei Darussalam,0.42600537375172143
Bulgaria,0.6514887803200039
Burkina Faso,0.30113480633130313
Burundi,0.08852393823811901
Cabo Verde,0.32699959048061017
Cambodia,0.3394116809209916
Cameroon,0.35754519817696023
Canada,0.8770298175437337
Central African Republic,0.019658224665927086
Chad,0.10771829750749234
Chile,0.7014562175066537
China,0.8878698551824906
Colombia,0.6533315346287081
Comoros,0.13356901407020763
Congo,0.1007267401496784
Costa Rica,0.5488510049814187
Côte D'Ivoire,0.4731337131736545
Croatia,0.5504371253696351
Cuba,0.291637294220488
Cyprus,0.7038575279952438
Czechia,0.7692391250505265
"Democratic People's Republic
of Korea",0.0924811768889857
"Democratic Republic of the
Congo",0.22990895650391802
Denmark,0.9245908016099023
Djibouti,0.17530906968826923
Dominica,0.10413949020725098
Dominican Republic,0.5119197414988065
Ecuador,0.6295651101822155
Egypt,0.7194096099333618
El Salvador,0.41410757967869427
Equatorial Guinea,0.05164997362825186
Eritrea,0.0
Estonia,0.8655859353861813
Eswatini,0.2529205753019165
Ethiopia,0.47684838549062475
Fiji,0.37459282382547504
Finland,0.8272939646835228
France,0.9557371682459137
Gabon,0.24663853525368715
Gambia (Republic of The),0.19655341474241267
Georgia,0.4426917212153373
Germany,0.9067441105003617
Ghana,0.5336179984684248
Greece,0.7270955884877905
Grenada,0.09763100846447348
Guatemala,0.27471043747573215
Guinea,0.085428206552914
Guinea Bissau,0.005858320358694206
Guyana,0.21858481472374658
Haiti,0.059503037951727504
Honduras,0.158787750940944
Hungary,0.7532794480622215
Iceland,0.7250867769364174
India,0.796388107328652
Indonesia,0.6974547190432555
Iran (Islamic Republic of),0.5554047750631059
Iraq,0.26833679222330536
Ireland,0.8393578159992189
Israel,0.8479203976322791
Italy,0.8085425353221671
Jamaica,0.47121547830010063
Japan,0.8433291222366771
Jordan,0.661833731809889
Kazakhstan,0.6497215065761489
Kenya,0.6312870955871608
Kiribati,0.16866472292876264
Kuwait,0.4620490521482448
Kyrgyzstan,0.31341000322857737
"Lao People's Democratic
Republic",0.27850059035755187
Latvia,0.6950986968935751
Lebanon,0.32876686422446505
Lesotho,0.2866243561881074
Liberia,0.04607847941598539
Libya,0.27005877762825065
Liechtenstein,0.4117968458679234
Lithuania,0.7909826703590542
Luxembourg,0.7777101014793892
Madagascar,0.126380178717407
Malawi,0.20505355487083715
Malaysia,0.7070740285842079
Maldives,0.20807380599119266
Mali,0.17231901079385345
Malta,0.743555494256858
Marshall Islands,0.06838058090439915
Mauritania,0.26290116302776795
Mauritius,0.5971818908090518
Mexico,0.5160269127529938
"Micronesia (Federated States
of)",0.13199798979496127
Monaco,0.37806595833492723
Mongolia,0.44465524442780074
Montenegro,0.42343800602046255
Morocco,0.4511023131923206
Mozambique,0.1801267867784194
Myanmar,0.115524016439302
Namibia,0.3857660044759476
Nauru,0.1218050279611531
Nepal,0.43550391438891467
Netherlands,0.9214648776987578
New Zealand,0.7589576435916553
Nicaragua,0.16069088970152798
Niger,0.09059313424137165
Nigeria,0.5951428870317388
North Macedonia,0.39429736535669
Norway,0.9013678372303259
Oman,0.660066458066034
Pakistan,0.5198784786130712
Palau,0.16448104258334767
Panama,0.39227345769234706
Papua New Guinea,0.2507608026208443
Paraguay,0.36462733221259347
Peru,0.6813279562859037
Philippines,0.7324265734189169
Poland,0.8522842028069547
Portugal,0.7828890967544386
Qatar,0.6664088825661427
Republic of Korea,0.9299811424665304
Republic of Moldova,0.6045800146906746
Romania,0.6732354112076663
Russian Federation,0.6712416957692628
Rwanda,0.58748710070325
Saint Kitts and Nevis,0.1297778326620097
Saint Lucia,0.21065626983542143
"Saint Vincent and the
Grenadines",0.14415447484123278
Samoa,0.17698576675430486
San Marino,0.3524265873537904
Sao Tome and Principe,0.0818493992526727
Saudi Arabia,0.8615089563579337
Senegal,0.45634169291924936
Serbia,0.7489609312264557
Seychelles,0.22380909833770554
Sierra Leone,0.14857969299416598
Singapore,0.9042673194469223
Slovakia,0.5180055320784271
Slovenia,0.7549410490152872
Solomon Islands,0.1415418187710642
Somalia,0.15523913586664245
South Africa,0.5835006983528217
South Sudan,0.008199246395404848
Spain,0.8962945147460656
Sri Lanka,0.5243781488044758
State of Palestine,0.3331004771732007
Sudan,0.05566656820461988
Suriname,0.07075169916704956
Sweden,0.8211488181784009
Switzerland,0.7411088954293581
Syrian Arab Republic,0.1382800298431905
Taiwan,0.7742067747439975
Tajikistan,0.3179096734199819
Thailand,0.7369413397232913
Timor-Leste,0.07713838347968986
Togo,0.30705351114187696
Tonga,0.1533661893319983
Trinidad and Tobago,0.32068838673281924
Tunisia,0.430385303565745
Türkiye,0.6835330173058852
Turkmenistan,0.1469784764929798
Tuvalu,0.09488248737757587
Uganda,0.3624826556444914
Ukraine,0.729451610637471
United Arab Emirates,0.798396918880025
"United Kingdom of Great
Britain and Northern Ireland",0.9355828289047365
United Republic of Tanzania,0.4397167584338914
United States of America,1.0
Uruguay,0.6862513461668432
Uzbekistan,0.6415987692719716
Vanuatu,0.2553067896775368
"Venezuela, Bolivarian
Republic of",0.21687792543177115
Viet Nam,0.6682818291007868
Yemen,0.027146925225369167
Zambia,0.5077219935667998
Zimbabwe,0.27188643582398503
