country,AI_INDEX,LEGAL_WGI_SCORE,PQC,RES_INDEX,AI_OBSERVED,LEGAL_OBSERVED,PQC_OBSERVED,RES_OBSERVED,AI_IMPUTED,LEGAL_IMPUTED,PQC_IMPUTED,RES_IMPUTED,OBSERVED_COUNT,CONFIDENCE_SCORE,CONFIDENCE_TIER,AI_NORM,LEGAL_NORM,PQC_NORM,RES_NORM,QSSI_ENTROPY,QSSI_CRITIC,QSSI_PCA,QSSI_SCORE,RANK_ENTROPY,RANK_CRITIC,RANK_PCA
Afghanistan,0.0610516005380055,0.102615014056443,0.615016992353441,0.354179974671984,True,True,False,False,False,False,True,True,2,0.5,C,0.058470111232444,0.0319216760835472,0.622668266608487,0.3559270285438891,0.202323144563048,0.2684100452160559,0.223659432815529,0.2314642075315442,182.0,168.0,178.0
Albania,0.4463222202606491,0.4876508458624123,0.955819881053526,0.2701885519067149,True,True,True,True,False,False,False,False,4,1.0,A,0.4677266504488516,0.46746040100221,0.972728264426748,0.2093728366484972,0.4900775255737857,0.5389446882811303,0.5515967079831909,0.5268729739460356,83.0,65.0,68.0
Algeria,0.4499496834942319,0.3585966585677635,0.3451571792693288,0.2755542924048365,True,True,True,True,False,False,False,False,4,1.0,A,0.4715799498522154,0.3214789324306031,0.3454783462419549,0.2187353612579475,0.3626093858852771,0.3489401375203335,0.3673976998262071,0.3596490744106059,125.0,148.0,138.0
Andorra,0.4134003350806227,0.7753004172964071,0.615016992353441,0.354179974671984,True,True,False,False,False,False,True,True,2,0.5,C,0.4327551366517261,0.7928392806200825,0.622668266608487,0.3559270285438891,0.5309931842461398,0.5393225949694407,0.5645944768872516,0.5449700853676107,69.0,64.0,64.0
Angola,0.2274411567617198,0.2977401710398435,0.2920560747663551,0.3009719446820423,True,True,True,True,False,False,False,False,4,1.0,A,0.2352186366997987,0.2526402561530779,0.290934875095451,0.2630858838080228,0.2538602137168416,0.2597790370873347,0.2567590693169062,0.2567994400403608,171.0,173.0,168.0
Antigua and Barbuda,0.2048522291268782,0.6072894192836624,0.1503823279524214,0.4546139035781736,True,True,True,True,False,False,False,False,4,1.0,A,0.2112233827790601,0.6027912648196778,0.145412894076579,0.5311712714097483,0.362356425974792,0.3499033329393443,0.3447504596639836,0.3523367395260399,126.0,147.0,150.0
Argentina,0.7006343917522271,0.4557897315810742,0.5751911639762107,0.3486768488372286,True,True,True,True,False,False,False,False,4,1.0,A,0.737871618316319,0.4314202511192903,0.5817606632486091,0.3463247842544314,0.5575720688986355,0.5427016441170744,0.5656867198360906,0.5553201442839335,59.0,63.0,62.0
Armenia,0.3862511205546053,0.4808759404353455,0.362786745964316,0.354179974671984,True,True,True,False,False,False,False,True,3,0.75,B,0.4039156845612435,0.4597968709423994,0.363586778662594,0.3559270285438891,0.4007412695454723,0.3939662538265883,0.4031476673470805,0.399285063573047,111.0,127.0,118.0
Australia,0.906168036193777,0.8913983025818323,0.884983007646559,0.5490572416395311,True,True,True,True,False,False,False,False,4,1.0,A,0.9562012383564856,0.924165044993224,0.899967273917312,0.6959627064610057,0.8844071981221937,0.8746012470187162,0.8994176616692162,0.8861420356033755,5.0,5.0,4.0
Austria,0.8154764620245336,0.8328247550093182,0.8584324553950722,0.4541127096524097,True,True,True,True,False,False,False,False,4,1.0,A,0.8598634490713527,0.8579087485232602,0.8726955383440601,0.5302967526987307,0.791018155813936,0.7864016896252962,0.818150188462572,0.7985233446339348,16.0,17.0,16.0
Azerbaijan,0.5773847984929369,0.4373378402041625,0.7610450297366185,0.354179974671984,True,True,True,False,False,False,False,True,3,0.75,B,0.6069488346546963,0.4105481333089987,0.7726628122613722,0.3559270285438891,0.5321984881957745,0.5508692032323024,0.5589954688886579,0.5473543867722449,68.0,62.0,65.0
Bahamas,0.2715555655237825,0.4672230367361789,0.615016992353441,0.354179974671984,True,False,False,False,False,True,True,True,1,0.25,D,0.2820794906951979,0.4443531958935565,0.622668266608487,0.3559270285438891,0.3886727166981326,0.4214733135127204,0.4159224378194129,0.408689489343422,115.0,111.0,113.0
Bahrain,0.6466986177833073,0.6083831998322443,0.6017417162276976,0.354179974671984,True,True,True,False,False,False,False,True,3,0.75,B,0.6805779471550732,0.6040285101514584,0.609032398821861,0.3559270285438891,0.58211650153458,0.570793995524568,0.5995021741251335,0.5841375570614272,49.0,55.0,52.0
Bangladesh,0.5512465092727128,0.2813061278746889,0.6637638062871708,0.4272125185465458,True,True,True,True,False,False,False,False,4,1.0,A,0.5791832453787545,0.2340506558765595,0.6727391731209774,0.4833593912449411,0.4911770441361823,0.5093350571785956,0.494807269241715,0.4984397901854976,81.0,81.0,88.0
Barbados,0.1717337295172703,0.6669772305511315,0.615016992353441,0.2728533184678624,True,True,False,True,False,False,True,False,3,0.75,B,0.176043013863243,0.67030797642204,0.622668266608487,0.214022510354469,0.3700670465520151,0.4038589025657277,0.4199113776299543,0.3979457755825658,120.0,118.0,110.0
Belarus,0.2819800950948946,0.273840813735871,0.615016992353441,0.354179974671984,True,True,False,False,False,False,True,True,2,0.5,C,0.2931530236272022,0.2256061602412118,0.622668266608487,0.3559270285438891,0.3411316187153628,0.3792029909796325,0.3606530810707813,0.3603292302552588,136.0,131.0,142.0
Belgium,0.7715866701521545,0.7950749198037986,0.955819881053526,0.4741843546733551,True,True,True,True,False,False,False,False,4,1.0,A,0.8132411960131016,0.8152074887101552,0.972728264426748,0.5653191825994204,0.7852803261736071,0.7976082982609877,0.8179780917814555,0.8002889054053501,19.0,15.0,17.0
Belize,0.1586499781736748,0.4261964513288163,0.615016992353441,0.3316058894347962,True,True,False,True,False,False,True,False,3,0.75,B,0.1621447031155854,0.3979453937617958,0.622668266608487,0.3165381634575154,0.3218053771156329,0.3666810902854436,0.3548717556322326,0.3477860743444364,147.0,141.0,143.0
Benin,0.4745324592805576,0.4278812747746087,0.5841121495327103,0.4796786347655915,True,True,True,True,False,False,False,False,4,1.0,A,0.4976931835835786,0.3998512056231274,0.5909239664012217,0.5749059922099085,0.505271622392039,0.5194095703687885,0.5034362532930955,0.5093724820179744,76.0,77.0,85.0
