PC1,PC2,iso3
3.9850718190483017,1.0866270567868797,ABW
4.2238438395332185,2.5059155560067166,AFG
3.532167236861998,1.2161034391087813,AGO
3.292373824644545,0.31239358882661133,AIA
3.6222044041277712,2.0187912744040344,ALB
3.2250069720028733,0.12522308453558945,AND
3.235212978008222,0.2311084497700848,ARE
2.9250829177380395,-0.8572433412026865,ARG
2.9344059539345286,-0.6264064013808208,ARM
3.3837788146626524,1.5581156222411057,ASM
2.665480192596576,-0.45511312582995866,ATG
2.497729918909993,-1.2711969343390175,AUS
2.902874606876606,0.7749714614589193,AUT
2.9207102727994827,0.8283349651013765,AZE
2.5984660431324222,-0.42316788153609836,BDI
2.5852980472643576,-0.050071924389172795,BEL
2.4576900698312616,-0.8286487665063785,BEN
2.7925181089378572,0.9528540881914083,BFA
2.5272872395140635,-0.24194527906888402,BGD
2.5243573028734225,-0.23605091078277082,BGR
2.350224005583686,-0.9176504361816534,BHR
2.1580310287015956,-1.201386146892304,BHS
2.3278293111374984,0.14252246471545713,BIH
1.9134173157647905,-1.144701280015038,BLR
2.0491610926565373,-0.2556831168870314,BLZ
1.9682323520416865,-0.5407606791221437,BMU
1.9636719009578953,-0.009853443188872376,BOL
1.9238470358880284,-0.08287273325380615,BRA
1.7532177351551754,-1.0159776478621816,BRB
1.9263438043953274,0.005274433780568735,BRN
1.855951688668147,0.17101291852690084,BTN
1.5876029184035811,-0.8978484451698026,BWA
1.4108338434120253,-1.2667217058341846,CAF
1.4356009462228656,-1.07213843786204,CAN
1.4205607777845226,-0.8464398346656088,CHE
1.658345655366237,0.5364018865436007,CHL
2.1645904087017374,3.171664895488278,CHN
1.2003211438211212,-1.29870422091781,CIV
1.479742919511002,0.07952421535376969,CMR
1.5425266689800927,0.8903016516464858,COG
1.075944817237687,-1.4324029418327016,COK
1.3066172998536931,-0.14779783902703836,COL
1.2545735419458732,-0.5079830692791043,COM
1.4361526974880763,1.026792294675709,CPV
1.099079823563536,-0.4479376056136191,CRI
0.9138004225345902,-1.3263034035898098,CUB
0.9436721665728237,-0.7658990034326475,CYM
1.6013670702270397,2.5044642927119627,CYP
0.8739173055227821,-0.7601402945779385,CZE
0.7640877864017118,-0.8650643412174666,DEU
1.0239790672814924,0.5974056046682479,DJI
0.6877353145503324,-0.6120399871850247,DMA
0.86051274471393,-0.056933080334469956,DNK
0.5094033526370202,-1.4700368119901421,DOM
0.384112383673108,-1.7723616038821313,DZA
0.8059265865347958,-0.06590952840291316,ECU
0.4523978772564569,-1.1727250076777582,EGY
0.8828136767981444,0.9631519500237461,ERI
1.0284864503352615,1.50034823854955,ESP
0.6725160958835691,-0.12902554283425824,EST
0.6036391611634805,-0.16401700299792227,ETH
0.5831959162688456,-0.2759497879418349,FIN
0.6790667093743665,-0.04871442845649363,FJI
0.7584482702626697,0.5510802942458177,FRA
0.6212183508565049,-0.06383884157816687,FSM
0.43888417498996507,-0.5709183713376309,GAB
0.6045190908627703,0.1505761597610484,GBR
0.5921536055930146,-0.06772925329534833,GEO
0.44560489602092945,-0.4826714306079898,GHA
0.5289388754241906,-0.0682673634791049,GIN
0.40533550307909255,-0.45996021173031054,GNB
0.4986726806452435,-0.06852500196922605,GNQ
0.4879823934299769,-0.06861600215861946,GRC
0.31514803019968246,-0.7708120799894599,GRD
0.48406185555182274,-0.06864937541438443,GRL
0.4451019102163347,0.0985601083591709,GTM
0.47646549761892426,-0.06871403878559931,GUF
0.43365898268678743,0.09295361877784704,GUM
0.43484769253511313,-0.06906830692344287,GUY
0.438061030152224,0.1606670468844122,HND
0.15189632638090872,-1.1027005657579243,HRV
0.1914857363540622,-0.7543056923567625,HTI
0.3632518129555753,-0.06967776095122834,HUN
0.3501544995384969,-0.044093109551596954,IDN
0.31168536680972836,-0.07011671607667319,IND
0.20206438217557382,-0.15970981777268006,IRL
0.21884606386968364,-0.07090700299605865,IRN
-0.06880319829226625,-1.218287049722812,IRQ
0.6975386438088285,2.5608768098088572,ISL
0.1038161229443707,-0.2677206454456836,ISR
0.06080912171718555,-0.43198674499454126,ITA
0.340432506771779,0.7473865930878799,JAM
0.20877418788059535,0.4564493989311863,JOR
0.171235915896769,0.6088195149166423,JPN
-0.2633953955604802,-1.3574716327189462,KAZ
-0.2561264185250952,-1.0113008477854777,KEN
