country,oecd_ai,oxford_ai,AI_INDEX
United States of America,1.0,1.0,1.0
France,0.9557371682459136,0.9390624663551604,0.947399817300537
"United Kingdom of Great
Britain and Northern Ireland",0.9355828289047364,0.9125126504597232,0.9240477396822298
Republic of Korea,0.9299811424665304,0.9067203548588532,0.9183507486626918
Denmark,0.9245908016099024,0.9012295170215971,0.9129101593157498
Netherlands,0.9214648776987578,0.898968583794492,0.9102167307466249
Australia,0.9172218414278416,0.8951142309597124,0.906168036193777
Germany,0.9067441105003616,0.8823668740983184,0.89455549229934
Singapore,0.9042673194469224,0.8810318468594561,0.8926495831531893
Norway,0.901367837230326,0.879093904093366,0.890230870661846
Spain,0.8962945147460656,0.874055252901531,0.8851748838237983
China,0.8878698551824906,0.8642363428866735,0.8760530990345821
Canada,0.8770298175437337,0.8509722012876554,0.8640010094156945
Estonia,0.8655859353861813,0.836846751792597,0.8512163435893891
Saudi Arabia,0.8615089563579337,0.8332292586292285,0.8473691074935811
Poland,0.8522842028069547,0.8222691156521178,0.8372766592295362
Israel,0.8479203976322791,0.8182425012381301,0.8330814494352046
Brazil,0.8452322609972611,0.8166060162356539,0.8309191386164575
Japan,0.8433291222366771,0.8160892314980297,0.8297091768673535
Ireland,0.8393578159992189,0.8126224672164682,0.8259901416078436
Austria,0.8297858518499326,0.8011670721991345,0.8154764620245336
Finland,0.8272939646835228,0.799810512262871,0.8135522384731969
Sweden,0.8211488181784009,0.7932430395555652,0.807195928866983
Italy,0.8085425353221671,0.7774595723606297,0.7930010538413984
United Arab Emirates,0.798396918880025,0.7651859348420577,0.7817914268610413
India,0.796388107328652,0.7645184212226266,0.7804532642756392
Lithuania,0.7909826703590542,0.7590060506879698,0.774994360523512
Belgium,0.7872679980420839,0.7559053422622252,0.7715866701521545
Portugal,0.7828890967544386,0.7518571951508367,0.7673731459526376
Luxembourg,0.7777101014793892,0.7466678150771948,0.762188958278292
Taiwan,0.7742067747439975,0.7438685644150644,0.7590376695795309
Czechia,0.7692391250505265,0.7389806421050367,0.7541098835777815
New Zealand,0.7589576435916553,0.7265132103098556,0.7427354269507555
Slovenia,0.7549410490152872,0.722981847936091,0.7389614484756891
Hungary,0.7532794480622215,0.7228095863568831,0.7380445172095522
Serbia,0.7489609312264557,0.7188475700350984,0.733904250630777
Malta,0.743555494256858,0.7133351995004414,0.7284453468786497
Switzerland,0.7411088954293581,0.7120432376563812,0.7265760665428697
Thailand,0.7369413397232913,0.7082965483086068,0.7226189440159491
Philippines,0.7324265734189169,0.704054606920609,0.7182405901697629
Ukraine,0.729451610637471,0.7020090006675136,0.7157303056524923
Greece,0.7270955884877905,0.7008462350078594,0.713970911747825
Iceland,0.7250867769364174,0.7001787213884285,0.7126327491624229
Egypt,0.7194096099333618,0.6942787623005534,0.7068441861169577
Argentina,0.7133852323319988,0.6878835511724555,0.7006343917522271
Malaysia,0.7070740285842079,0.6810792187937383,0.694076623688973
Cyprus,0.7038575279952438,0.6786890893822269,0.6912733086887354
Chile,0.7014562175066537,0.6774617256303698,0.6894589715685118
Indonesia,0.6974547190432555,0.6739518959540062,0.6857033074986308
Latvia,0.6950986968935751,0.6727891302943521,0.6839439135939636
Uruguay,0.6862513461668432,0.6623673047522665,0.6743093254595549
Türkiye,0.6835330173058852,0.6606877543549879,0.6721103858304366
Peru,0.6813279562859037,0.659740315669344,0.6705341359776238
Romania,0.6732354112076663,0.6503951249973086,0.6618152681024874
Russian Federation,0.6712416957692628,0.6497491440752783,0.6604954199222706
Viet Nam,0.6682818291007868,0.6477250705195838,0.6580034498101853
Qatar,0.6664088825661427,0.6472513511767619,0.6568301168714523
Jordan,0.661833731809889,0.6429232789991602,0.6523785054045246
Oman,0.660066458066034,0.6426002885381453,0.6513333733020896
