country,rule_of_law,regulatory_quality,government_effectiveness,control_of_corruption,LEGAL_WGI_SCORE
Denmark,0.9959884734264757,0.9516701741782122,0.9176349563611014,1.0,0.9663234009914473
Finland,1.0,0.959543796743575,0.8961328588524048,0.9780826057428201,0.9584398153347
Singapore,0.8603894069067882,1.0,1.0,0.92662256356917,0.9467529926189896
Luxembourg,0.938604332943646,0.9295816697098692,0.9461169059187473,0.9375681638617303,0.9379677681084981
Norway,0.9830091422424684,0.889221903524776,0.9019489305784836,0.9249880784326773,0.9247920136946013
Switzerland,0.9390499266795548,0.9133617653526964,0.9013282642098684,0.9356056834018649,0.9223364099109961
New Zealand,0.9162904352242299,0.9309834265730321,0.9033251995756246,0.917528097653318,0.9170317897565512
Sweden,0.9303078526538817,0.8895435363946762,0.8865951696142947,0.9265037729686911,0.9082375829078859
Netherlands,0.9256282193845768,0.9015490999426631,0.8814974627805683,0.9132709596134476,0.9054864354303139
Australia,0.8696698416344153,0.9016674927045318,0.894310073912639,0.8999458020757428,0.8913983025818323
Liechtenstein,0.9305071088099731,0.8569530612531371,0.8682839058908527,0.8776628682319055,0.883351736046467
Ireland,0.8982784310699922,0.918971840207204,0.8499545174068001,0.8357412976924156,0.875736521594103
Germany,0.9064319163220674,0.8478558948449597,0.8352988629284321,0.8818862991516789,0.8678682433117846
Iceland,0.9069297491452061,0.8075971728269175,0.8576849860906499,0.8946147924121619,0.8667066751187339
Japan,0.8794111774754142,0.8074415153793613,0.9569415429979288,0.7862086502442146,0.8575007215242297
Canada,0.8674053197892144,0.8152583650881003,0.8830982587068588,0.8493711749484089,0.8537832796331456
Monaco,0.840087092589831,0.7528515582961375,0.8781393736145618,0.8880578959193062,0.8397839801049591
Greenland,0.8942975429104,0.8491591270465432,0.7918510716944108,0.8150993054954645,0.8376017617867046
"Hong Kong SAR, China",0.7396822893477144,0.9058915516062506,0.8557714875101083,0.8356421063921704,0.834246858714061
Estonia,0.8734662605172272,0.8237747015015892,0.7793055705721805,0.8579673177417875,0.8336284625831961
Austria,0.9187240716507348,0.8125828182444349,0.8281592794080305,0.7718328507340729,0.8328247550093182
United Kingdom,0.8222365138396556,0.851017562272877,0.7541328384592416,0.8213039430529349,0.8121727144061772
"Taiwan, China",0.826534456350682,0.7992436444574658,0.823824541896114,0.7462153705294812,0.7989545033084358
Belgium,0.8252849768784076,0.7867847138963563,0.7563405106636703,0.8118894777767601,0.7950749198037986
"Jersey, Channel Islands",0.9056895913216492,0.743609436339835,0.7757148915413875,0.7102504248314908,0.7838160860085907
Lithuania,0.8469180156973253,0.7983126991834042,0.7578571286435317,0.7025212466294602,0.7764022725384304
Andorra,0.8553569468676198,0.7528515582961375,0.7483218874833727,0.744671276538498,0.7753004172964071
United States,0.7493373407905577,0.8129252550309425,0.7934522943498854,0.7241430200228565,0.7699644775485605
France,0.7533287098902055,0.763414357030002,0.757679407168053,0.7543191641957685,0.7571854095710073
Czechia,0.8028873972515947,0.7839914701542381,0.7524299644202189,0.6883391424311248,0.7569119935642942
French Guiana,0.7451746095039509,0.7428687977123849,0.7768054541200321,0.7490539374121047,0.7534756996871181
"Korea, Rep.",0.7861661338776609,0.7316257085059343,0.8219184998465796,0.6696112872852561,0.7523304073788578
San Marino,0.7957123302297686,0.6960320548282782,0.6896094767657862,0.744671276538498,0.7315062845905829
Bermuda,0.7110845120782897,0.6392124313839679,0.8194270302752676,0.744671276538498,0.7285988125690057
United Arab Emirates,0.6393360184886622,0.758510919476725,0.7709899887985834,0.7432889399609328,0.7280314666812258
"Macao SAR, China",0.7233853502624885,0.8174608687806757,0.7386396493489932,0.6061550028466088,0.7214102178096916
Guam,0.7665809477187762,0.5823929279161085,0.7731074863885742,0.744671276538498,0.7166881596404893
Uruguay,0.7466814279942503,0.643604841241761,0.6430866750308581,0.8254790305639254,0.7147129937076987
Latvia,0.7799979705303883,0.7522960193373244,0.6549228624113261,0.6639991781620507,0.7128040076102724
Anguilla,0.6715566285072911,0.6960320548282782,0.7376648875952656,0.744671276538498,0.7124812118673334
Aruba,0.8104415525409407,0.7237608202262059,0.6355191270576264,0.674031951960254,0.7109383629462567
Israel,0.663674724995393,0.7556697571400685,0.751373585095167,0.6704753108327239,0.7102983445158382
Cayman Islands,0.7181887913514785,0.7463224398315098,0.7539846511351916,0.6132999932310037,0.7079489688872959
Portugal,0.7754486274120684,0.6659946305739108,0.7008084900960423,0.6637773820950443,0.7015072825442665
Slovenia,0.7533295616144539,0.6799132186334464,0.7326672824443659,0.6293536582748728,0.6988159302417848
Chile,0.6852842940794684,0.6757243848177478,0.7046212704374644,0.7284868958802915,0.698529211303743
Brunei Darussalam,0.6608096429191043,0.7012206044197644,0.675589716150078,0.7469558702339752,0.6961439584307305
Qatar,0.6612793215240347,0.7202669380054081,0.7427594501086879,0.6478454257186291,0.6930377838391899
American Samoa,0.7788618177011534,0.5823929279161085,0.660358448921168,0.744671276538498,0.6915711177692321
Spain,0.742235853280183,0.6373635462831354,0.7374906473315523,0.6386005529805848,0.6889226499688639
Barbados,0.6939718340942426,0.5940917116788317,0.6237918005379752,0.7560535758934764,0.6669772305511315
Martinique,0.7110845120782897,0.6392124313839679,0.7020023211372485,0.6012847260884057,0.6633959976719779
Seychelles,0.6630077775909506,0.5818951216255273,0.6287771652991194,0.7572077747781683,0.6577219598234414
Cyprus,0.6848432665318909,0.6658564656929137,0.6833244072069079,0.596756069958427,0.6576950523475349
Poland,0.6582789335872987,0.6529598610384753,0.6392512331238153,0.6568624135097586,0.651838110314837
Bhutan,0.708756678730631,0.4664853582538819,0.6184612118668625,0.8126839502318393,0.6515967997708036
Mauritius,0.6728772032952928,0.7139484981887754,0.659902814449661,0.5526412159451819,0.6498424329697279
Italy,0.668285061033495,0.641997324765095,0.6659524417960483,0.6015085441230796,0.6444358429294295
Réunion,0.6715566285072911,0.6392124313839679,0.660358448921168,0.6012847260884057,0.6431030587252082
Saudi Arabia,0.5715553532868193,0.6588200388027837,0.6639339004579163,0.647385474028032,0.6354236916438878
Malaysia,0.6034431520554201,0.6516738574552586,0.6934615161921491,0.5889252878810932,0.6343759533959803
Oman,0.6281011841782475,0.6533629579186196,0.615468245666464,0.5909591805626777,0.6219728920815022
Palau,0.7988426534323861,0.6038513400589731,0.4902608721275455,0.5904271503201074,0.620845503984753
Costa Rica,0.667702316034601,0.6280029835743839,0.5524443654072121,0.6304767004759575,0.6196565913730386
Malta,0.6938310393441952,0.6063606475321023,0.6278178780931746,0.5357099250258983,0.6159298724988426
St. Kitts and Nevis,0.6614819372591056,0.6035632526047786,0.643290000257385,0.5543913668230307,0.6156816392360751
Samoa,0.7709085586244522,0.4639793861260911,0.5855927782688657,0.6325162454762494,0.6132492421239146
"Bahamas, The",0.5811705156440334,0.4626548461068061,0.6473132479243106,0.7575050040253241,0.6121609034251185
Virgin Islands (U.S.),0.6588470100019163,0.7528515582961375,0.5721848350060593,0.4578981067075974,0.6104453775029277
Bahrain,0.5615197703770355,0.7164053519575176,0.6228221146155958,0.5327855623788285,0.6083831998322443
Antigua and Barbuda,0.6641610358821726,0.6406665699656471,0.5845775895397985,0.5397524817470315,0.6072894192836624
Cook Islands,0.74277449789022,0.502957071585989,0.6062038877005105,0.5743366073432076,0.6065680161299818
Cabo Verde,0.6221492168360049,0.4992239803171433,0.581259298485071,0.6905682698771713,0.5983001913788477
Botswana,0.5956234953906696,0.5848368242281404,0.5816397837013079,0.6194257740494328,0.5953814693423877
Slovak Republic,0.6545011343429153,0.5855019256820271,0.635697634613181,0.49987204161430043,0.593893184063106
Georgia,0.557031514814525,0.6443713467920515,0.5904838358803152,0.5619708045331229,0.5884643755050036
St. Vincent and the Grenadines,0.6405054831996092,0.5138748326478478,0.5482516613353219,0.636400881927152,0.5847582147774828
Fiji,0.5941316530517363,0.5040083532404259,0.6247779716825208,0.6036971862619612,0.581653791059161
Croatia,0.6110963202886324,0.5569885622849946,0.6474174372235328,0.5085713736894489,0.5810184233716522
St. Lucia,0.6408558257737483,0.532026837772282,0.5482516613353219,0.577640295720124,0.5746936551503691
Puerto Rico (U.S.),0.650974404479729,0.6450348885520749,0.43068963523773285,0.5657878429285885,0.5731216927995313
Rwanda,0.5455117077660289,0.5530840966535088,0.5663714808711007,0.6181280843910484,0.5707738424204216
Greece,0.592362692765012,0.6034857718127086,0.5309676695146872,0.5432665007152021,0.5675206587019025
Romania,0.6095859292882915,0.5804027585465524,0.5819172250492906,0.48037684973852973,0.5630706906556661
Kuwait,0.57639882517889,0.5852158778275,0.5616524624991516,0.5245780509619488,0.5619613041168726
Dominica,0.6158230586406703,0.5027467768626372,0.5214828497765488,0.5968681513025538,0.5592302091456025
Grenada,0.6497548299921729,0.5003615970257357,0.4925331376547943,0.58446850351094,0.5567795170459108
Hungary,0.5672923551289806,0.5687865665727131,0.6007344997473987,0.48347048324705577,0.555070976174037
Jordan,0.5616608253761588,0.5546211869534248,0.5365686697319597,0.5369506319591014,0.5474503285051612
Tuvalu,0.8107482679063609,0.39188032972888076,0.33281738780380143,0.6073795110615646,0.5357063741251519
"Micronesia, Fed. Sts.",0.7529219642436225,0.3052424310156402,0.4465082614994644,0.6370895457332553,0.5354405506229956
Namibia,0.5993551122535888,0.5207625847198711,0.5103207148315747,0.5034794387256714,0.5334794626326764
Montenegro,0.5647009604444827,0.5189420860473505,0.5703214658749387,0.4607528263546575,0.5286793346803573
China,0.3847261615454499,0.4712853761063778,0.6891968521041544,0.4947851845465974,0.5099983935756449
Marshall Islands,0.7195116137451354,0.3234067457239493,0.4226644314442272,0.5641872946812462,0.5074425213986395
Kiribati,0.7077496331020359,0.368070595103593,0.39046519904468363,0.5604726413758645,0.5066895171565442
Nauru,0.5813633365502485,0.36253070647293345,0.4902608721275455,0.5904271503201074,0.5061455163677087
Jamaica,0.5034115933061194,0.5101982502874335,0.5264733352879027,0.4522886169515979,0.4980929489582634
Tonga,0.6860440084499564,0.44172437833901956,0.4796364833328789,0.3826807945836633,0.4975214161763795
Bulgaria,0.513899015929633,0.557506332657026,0.49762601571091075,0.4192603035681158,0.49707291696642136
India,0.5125063521476145,0.4653395111607493,0.578880822309833,0.4065498931321157,0.4908191446875781
Albania,0.4937509583376482,0.5209616256521169,0.5581594370732343,0.3777313623866498,0.4876508458624123
Senegal,0.47336366086791515,0.4304083914409279,0.5406565780999978,0.5003824046351586,0.4862027587609999
Dominican Republic,0.47866595188075034,0.5381406457540513,0.5047744931658872,0.4134072356388712,0.48374708160988994
Ghana,0.534556120714026,0.4668307464610846,0.501390059087618,0.42995343362507416,0.4831825899719507
Armenia,0.4880983957276945,0.5215032713379018,0.4062498891065607,0.507652205569225,0.4808759404353455
Moldova,0.4836178766604395,0.4771769157149834,0.5458728258091919,0.4074128827188443,0.4785201252258648
Kazakhstan,0.43151707632592,0.4996826502894011,0.5209712014847659,0.4589937374606411,0.47779116639018204
North Macedonia,0.46857133974875703,0.5522919161426995,0.4807448337806728,0.3987641228122942,0.4750930531211059
Thailand,0.47080004185751506,0.51392555869134,0.5449748079303172,0.3532413129720577,0.4707354303628075
Indonesia,0.4729084142571921,0.518318664412549,0.5283917749432079,0.3492732933317666,0.46722303673617893
South Africa,0.5259758269775187,0.4739666098338218,0.4372699340137433,0.4303409621101181,0.4668883332338004
Kosovo,0.5341223801405729,0.43489483884103225,0.4742423120133294,0.4158803318655533,0.46478496571512196
Serbia,0.4744510524839344,0.5071920003541704,0.5109058952996139,0.345547932788508,0.4595242202315567
Argentina,0.462313437788322,0.4319965197231087,0.5292775524323272,0.39957141638053906,0.4557897315810742
Panama,0.45946314259134413,0.4706829023599247,0.5430674856932303,0.3470897061120544,0.45507580918913837
Maldives,0.5322800532734591,0.43191858302052466,0.43830901957712215,0.3972172256388625,0.4499312203774921
Morocco,0.434768793892929,0.4819884273114872,0.5276173513117183,0.3552298032887396,0.44990109395121847
Trinidad and Tobago,0.433886454889691,0.4388236836873658,0.5130046392649333,0.3963291222946245,0.44551097503415366
Vanuatu,0.6215247136899366,0.41046662561072506,0.30454844348733334,0.439804804755815,0.4440861468859525
Philippines,0.3859923206175872,0.5074190197947946,0.5204675038314666,0.3419203849311756,0.438949807293756
