PQC_NORM,AI_NORM,LEGAL_NORM,RES_NORM
0.046858916651744936,0.22767209346551898,0.09564774407348012,0.022208390678864574
0.038067549853275186,0.22572289547323765,0.09486124965836756,0.029541403776036364
0.04461502671704791,0.2147888550407159,0.06772884523725643,0.02125555205973528
0.04371280572840847,0.21759358787428074,0.08611889114186456,0.008140134993989025
0.032279429172285774,0.2011630915218844,0.08202863465069488,0.02201149473338813
0.04692900879113048,0.21466619692481154,0.0768670074410413,0.010270760431047764
0.044978628934815544,0.21432157423315779,0.07754444192589134,0.010191932036219358
0.04558509222443483,0.19788052808808193,0.08824604653378458,-0.0018802940229844744
0.04682688327314233,0.20396075912248857,0.07327590393456515,0.0018196132712528297
0.03191825859003956,0.19441090444922313,0.09098509008238408,0.019904457571108605
0.045181911182080495,0.20464639653131508,0.06240825406437074,-0.002028430390485647
0.04636947987063298,0.19585339534764395,0.06886488357044293,-0.007764946201110318
0.026033286843720308,0.18962084686150849,0.07798051053967273,0.009293377053059056
0.03482730883963405,0.16743512972639155,0.08120328931048498,0.010436490912257282
0.04388240067668516,0.18067952326853837,0.0634506550809252,0.002792618528532336
0.04986689814622888,0.1919563523604456,0.016940255406172167,0.009967442786914025
0.036170356651363485,0.20303464886162192,0.07654272586391846,-0.01219053441720167
0.04058149781596346,0.17457243038784537,0.04555329147634646,0.011006905046687563
0.04080045101555506,0.18364571144972208,0.06452288732897836,0.0009008579820122119
0.03595940115040514,0.18571921075397144,0.07005429972635761,-0.00224814658397903
0.04413298902151653,0.17659598591696482,0.06078785774716997,-0.001533508047875176
0.04315378352588737,0.17855511704884336,0.060495747670082325,-0.008116594537637148
0.03209102109789295,0.14385091113443488,0.07107440442428742,0.004686150784271185
0.0494806024007523,0.17403553419967233,0.014083706777673642,-0.0034171871502625623
0.04553269655189047,0.16200989281281514,0.02153914052093549,0.004138098340477818
0.04723854953919104,0.16696312277594275,0.013145667712401396,0.002385179919791134
0.052557928088024744,0.12999497920406636,0.019983210589168847,0.008884691892051193
0.028643028924188924,0.17225500654166243,0.0029075734262589965,0.004159702193853858
0.04722669905819513,0.15571902780245098,0.017559057391975264,-0.0038447064496662554
-0.011097034301560145,0.16568319889918862,0.07651731704805301,-0.0030229565985284814
0.05227846979026248,0.13475862020350976,-0.0004196733235536326,0.011428129948811072
0.05276151504229049,0.11759818347595213,0.025175143502665736,-0.0020795224669435657
0.04969746599987083,0.15163019714003587,-0.010727984610786164,-0.004532662367486334
0.051321453729087675,0.12363105704061197,0.020281519618737646,-0.006570170805222918
0.05598261076364762,0.11046443974987116,-0.000459930421288739,0.0028549488570598254
0.025381659766241644,0.15995461120363783,-0.0278885437020879,0.012602450867336802
-0.08704249253238582,0.22358025540161322,0.0628633792781784,0.015609857056944147
0.05569173716456241,0.1133029110854541,-0.0006975104847493725,-0.00633443297960105
-0.022128885309072338,0.16063884723075195,0.021976801263951302,9.081298520466459e-05
-0.0178068505606794,0.17147675648996752,-0.02983986319892701,0.01294271102710786
0.04413039160848297,0.10976873197596795,0.02007482371200634,-0.014136079820927327
0.01535802637183518,0.12005904053704067,0.005433314984203764,0.0033473520333248807
0.05569154142480851,-0.00633706023330938,0.07649376487910156,0.002995949453710049
-0.021350758840592638,0.13988460880502854,0.00013804691471890044,0.012719503447812289
-0.004247522068575126,0.16537174090851578,-0.021046516769506605,-0.004632969103522928
0.07059068331407999,0.012730522184717728,0.0378860501854541,-0.003007357607057749
0.03837046262789999,0.13693972130502982,-0.04773678414589115,-0.002511492358767739
0.0098867729129261,0.026148034155933142,0.014160495032328527,0.03527583527870042
0.05934559913410096,0.018789200613536186,0.03040124632092662,0.0007150332446583405
0.0466903254464603,0.06752921412100663,-0.0060750878079645935,-0.0025836568192731772
-0.018656469594985653,0.09654848734121776,0.008728108879238418,0.00934961278567705
0.03607293144717868,0.06624982364588221,-0.016083854659332295,0.0012110762214472448
0.004367267502866125,-0.009074616685801767,0.08523853896703774,0.003199504289930944
0.06732111476737576,0.0050293528944305565,0.012612566238620436,-0.006148977152439945
0.0503882094177896,0.13109496767875467,-0.0629364943943172,-0.013200735692952931
0.003545790086793768,-0.008128737761293822,0.08053592588494059,0.002921878882071366
0.010152034700089302,0.15260895105640188,-0.05711505341091112,-0.012784364336155854
-0.01000480585708788,0.09849975591033926,-0.031350182495255084,0.014292656572046387
-0.04781881621165837,0.1053710170496908,0.02245179045758371,0.011355575986461924
-0.011892961862942546,0.08030318162748332,0.008235915946558462,-0.00044988924852925856
-0.017403076112021694,0.14456764027789681,-0.033359614143979616,-0.0044537453741802045
-0.0019031399473334433,0.11058943834471012,-0.029273347308410934,-0.0025512461180898474
0.005468569068217104,-0.03428745875729907,0.08226836249921901,0.0026175676217909294
0.0012588827199415912,0.0010994131473036825,0.05113811942365791,0.009889762623258786
0.002558495315495565,-0.010740685737844579,0.070852454849954,0.0021861020135140598
0.04307858742422241,0.015217504401999789,-0.007149951968800795,0.0020924356721782646
