pqc_norm,ai_norm,legal_norm,res_norm,source_file,python_version,pandas_version,numpy_version,pc1,pc2,iso3,pipeline,execution_mode,framework_type,reproducible,audit_ready,country,pqc_score,ai_index,legal_wgi_score,res_index,qvp_global_score,rank,explained_variance_ratio,predicted_qvp_score,residual,imf_res,ndgain_res,global_resilience,file,sha256,timestamp,oecd_ai,oxford_ai,rule_of_law,regulatory_quality,government_effectiveness,control_of_corruption,sci_score,qssi_global_score,sovereign_tier,manifest_version,created_utc,files,integrity,provenance,consistency_checks,unnamed__0,metric,spearman_rho,spearman_p,kendall_tau,kendall_p,framework,version,doi,orcid,generated_utc,countries,cronbach_alpha,dataset_hash_sha256,random_seed,data_final_qvp_global_master_2026_csv,data_final_qvp_global_master_2026_json,audit_missing_iso_1778323642_851867_csv,audit_correlation_matrix_csv,audit_validation_report_json,audit_missing_iso_1778323642_846754_csv,audit_missing_iso_1778323642_841951_csv,audit_variance_report_json,audit_missing_iso_1778323642_82937_csv,audit_pca_results_csv,audit_merge_audit_json,metadata_environment_json,metadata_manifest_json,metadata_metadata_json,feature,importance,title,description,schema_version,status,identifiers,author,methodology,dataset,statistics,data_lineage,reproducibility,validation,related_files,license,ai_missing,legal_missing,pqc_missing,res_missing,null_counts,duplicate_iso3,row_count,pqc,sci_plus_score,sci_ultra_score,sci_adjusted_score,confidence_score,rank_raw,rank_adjusted,rank_gap,capability_tier,confidence_level,risk_flag,institutional_rank
0.2300339847068818,0.1806795232685383,0.2476232463286662,0.1898889801397921,QVP_GLOBAL_MASTER_2026.json,unknown,unknown,unknown,-0.1658001547504036,-0.0500719243891727,USA,unknown,unknown,unknown,1.0,1.0,United States,0.849617672,1.0,0.7924757004,0.7811399251000001,0.8592322117000001,3.0,0.41045876521796854,0.4866030961850762,-5.551115123125783e-17,0.3443274348062439,0.3960527156972023,0.3443274348062439,unknown,unknown,unknown,0.4678027282425281,0.4320966387459358,0.4981828818047356,0.4795826715132353,0.5106133050655943,0.42688886590177155,0.4627723843161325,0.5413940186086891,unknown,1.1,unknown,unknown,unknown,unknown,1.0,unknown,unknown,0.8019822355184234,4.07340488198082e-41,0.6283860385661699,3.4496001759629814e-34,unknown,unknown,unknown,unknown,unknown,201.0,0.802555371615675,unknown,42.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.1768519404169193,unknown,unknown,1.1,unknown,unknown,unknown,unknown,unknown,0.355551019502356,unknown,unknown,unknown,unknown,unknown,17.0,14.0,78.0,64.0,17.0,0.0,201.0,0.615016992353441,0.5762006674480856,0.4305630718167485,0.335762450690333,0.8,98.0,98.0,-7.0,unknown,unknown,0.0,1
0.2300339847068818,0.1806795232685383,0.2476232463286662,0.1898889801397921,prediction_output.csv,unknown,unknown,unknown,-0.1658001547504036,-0.0500719243891727,USA,unknown,unknown,unknown,1.0,1.0,United States,0.8496176720475787,1.0,0.7924757003896106,0.7811399250869977,0.8592322117290758,3.0,0.41045876521796854,0.8592322117290758,0.0,0.3443274348062439,0.3960527156972023,0.3443274348062439,unknown,unknown,unknown,0.4678027282425281,0.4320966387459358,0.4981828818047356,0.4795826715132353,0.5106133050655943,0.42688886590177155,0.4627723843161325,0.5413940186086891,unknown,1.1,unknown,unknown,unknown,unknown,1.0,unknown,unknown,0.8019822355184234,4.07340488198082e-41,0.6283860385661699,3.4496001759629814e-34,unknown,unknown,unknown,unknown,unknown,201.0,0.802555371615675,unknown,42.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.1768519404169193,unknown,unknown,1.1,unknown,unknown,unknown,unknown,unknown,0.355551019502356,unknown,unknown,unknown,unknown,unknown,17.0,14.0,78.0,64.0,17.0,0.0,201.0,0.615016992353441,0.5762006674480856,0.4305630718167485,0.335762450690333,0.8,98.0,98.0,-7.0,unknown,unknown,0.0,2
0.8496176720475787,1.0,0.7924757003896103,0.7811399250869977,QSSI_TOP40.csv,unknown,unknown,unknown,-0.1658001547504036,-0.0500719243891727,USA,unknown,unknown,unknown,1.0,1.0,United States,0.8496176720475787,1.0,0.7924757003896106,0.7811399250869977,0.4866030961850762,3.0,0.41045876521796854,0.4866030961850762,-5.551115123125783e-17,0.3443274348062439,0.3960527156972023,0.3443274348062439,unknown,unknown,unknown,0.4678027282425281,0.4320966387459358,0.4981828818047356,0.4795826715132353,0.5106133050655943,0.42688886590177155,0.4627723843161325,0.8592322117290757,Elite Sovereign Digital Power,1.1,unknown,unknown,unknown,unknown,1.0,unknown,unknown,0.8019822355184234,4.07340488198082e-41,0.6283860385661699,3.4496001759629814e-34,unknown,unknown,unknown,unknown,unknown,201.0,0.802555371615675,unknown,42.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.1768519404169193,unknown,unknown,1.1,unknown,unknown,unknown,unknown,unknown,0.355551019502356,unknown,unknown,unknown,unknown,unknown,17.0,14.0,78.0,64.0,17.0,0.0,201.0,0.615016992353441,0.5762006674480856,0.4305630718167485,0.335762450690333,0.8,98.0,98.0,-7.0,unknown,unknown,0.0,3
0.8496176720475787,1.0,0.7924757003896103,0.7811399250869977,QSSI_GLOBAL_RANKINGS_2026.csv,unknown,unknown,unknown,-0.1658001547504036,-0.0500719243891727,USA,unknown,unknown,unknown,1.0,1.0,United States,0.8496176720475787,1.0,0.7924757003896106,0.7811399250869977,0.4866030961850762,3.0,0.41045876521796854,0.4866030961850762,-5.551115123125783e-17,0.3443274348062439,0.3960527156972023,0.3443274348062439,unknown,unknown,unknown,0.4678027282425281,0.4320966387459358,0.4981828818047356,0.4795826715132353,0.5106133050655943,0.42688886590177155,0.4627723843161325,0.8592322117290757,Elite Sovereign Digital Power,1.1,unknown,unknown,unknown,unknown,1.0,unknown,unknown,0.8019822355184234,4.07340488198082e-41,0.6283860385661699,3.4496001759629814e-34,unknown,unknown,unknown,unknown,unknown,201.0,0.802555371615675,unknown,42.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.1768519404169193,unknown,unknown,1.1,unknown,unknown,unknown,unknown,unknown,0.355551019502356,unknown,unknown,unknown,unknown,unknown,17.0,14.0,78.0,64.0,17.0,0.0,201.0,0.615016992353441,0.5762006674480856,0.4305630718167485,0.335762450690333,0.8,98.0,98.0,-7.0,unknown,unknown,0.0,4
0.2300339847068818,0.1806795232685383,0.2476232463286662,0.1898889801397921,QVP_GLOBAL_MASTER_2026.csv,unknown,unknown,unknown,-0.1658001547504036,-0.0500719243891727,USA,unknown,unknown,unknown,1.0,1.0,United States,0.8496176720475787,1.0,0.7924757003896106,0.7811399250869977,0.8592322117290758,3.0,0.41045876521796854,0.4866030961850762,-5.551115123125783e-17,0.3443274348062439,0.3960527156972023,0.3443274348062439,unknown,unknown,unknown,0.4678027282425281,0.4320966387459358,0.4981828818047356,0.4795826715132353,0.5106133050655943,0.42688886590177155,0.4627723843161325,0.5413940186086891,unknown,1.1,unknown,unknown,unknown,unknown,1.0,unknown,unknown,0.8019822355184234,4.07340488198082e-41,0.6283860385661699,3.4496001759629814e-34,unknown,unknown,unknown,unknown,unknown,201.0,0.802555371615675,unknown,42.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.1768519404169193,unknown,unknown,1.1,unknown,unknown,unknown,unknown,unknown,0.355551019502356,unknown,unknown,unknown,unknown,unknown,17.0,14.0,78.0,64.0,17.0,0.0,201.0,0.615016992353441,0.5762006674480856,0.4305630718167485,0.335762450690333,0.8,98.0,98.0,-7.0,unknown,unknown,0.0,5
0.2300339847068818,0.1806795232685383,0.2476232463286662,0.1898889801397921,AI_INDEX_2026_v1.csv,unknown,unknown,unknown,-0.1658001547504036,-0.0500719243891727,unknown,unknown,unknown,unknown,1.0,1.0,United States of America,0.6017417162276976,1.0,0.4893867991225805,0.3572900758335642,0.4866030961850762,1.0,0.41045876521796854,0.4866030961850762,-5.551115123125783e-17,0.3443274348062439,0.3960527156972023,0.3443274348062439,unknown,unknown,unknown,1.0,1.0,0.4981828818047356,0.4795826715132353,0.5106133050655943,0.42688886590177155,0.4627723843161325,0.5413940186086891,unknown,1.1,unknown,unknown,unknown,unknown,1.0,unknown,unknown,0.8019822355184234,4.07340488198082e-41,0.6283860385661699,3.4496001759629814e-34,unknown,unknown,unknown,unknown,unknown,201.0,0.802555371615675,unknown,42.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.1768519404169193,unknown,unknown,1.1,unknown,unknown,unknown,unknown,unknown,0.355551019502356,unknown,unknown,unknown,unknown,unknown,17.0,14.0,78.0,64.0,17.0,0.0,201.0,0.615016992353441,0.5762006674480856,0.4305630718167485,0.335762450690333,0.8,98.0,98.0,-7.0,unknown,unknown,0.0,6
0.2300339847068818,0.1806795232685383,0.2476232463286662,0.1898889801397921,QVP_GLOBAL_MASTER_2026.csv,unknown,unknown,unknown,-0.1658001547504036,-0.0500719243891727,FRA,unknown,unknown,unknown,1.0,1.0,France,0.9027187765505524,0.9557371682459136,0.7789699880684355,0.478640518318207,0.8002205257073943,11.0,0.41045876521796854,0.4866030961850762,-5.551115123125783e-17,0.3443274348062439,0.3960527156972023,0.3443274348062439,unknown,unknown,unknown,0.4678027282425281,0.4320966387459358,0.4981828818047356,0.4795826715132353,0.5106133050655943,0.42688886590177155,0.4627723843161325,0.5413940186086891,unknown,1.1,unknown,unknown,unknown,unknown,1.0,unknown,unknown,0.8019822355184234,4.07340488198082e-41,0.6283860385661699,3.4496001759629814e-34,unknown,unknown,unknown,unknown,unknown,201.0,0.802555371615675,unknown,42.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.1768519404169193,unknown,unknown,1.1,unknown,unknown,unknown,unknown,unknown,0.355551019502356,unknown,unknown,unknown,unknown,unknown,17.0,14.0,78.0,64.0,17.0,0.0,201.0,0.615016992353441,0.5762006674480856,0.4305630718167485,0.335762450690333,0.8,98.0,98.0,-7.0,unknown,unknown,0.0,7
0.2300339847068818,0.1806795232685383,0.2476232463286662,0.1898889801397921,prediction_output.csv,unknown,unknown,unknown,-0.1658001547504036,-0.0500719243891727,FRA,unknown,unknown,unknown,1.0,1.0,France,0.9027187765505524,0.9557371682459136,0.7789699880684355,0.478640518318207,0.8002205257073943,11.0,0.41045876521796854,0.8002205257073944,-1.1102230246251563e-16,0.3443274348062439,0.3960527156972023,0.3443274348062439,unknown,unknown,unknown,0.4678027282425281,0.4320966387459358,0.4981828818047356,0.4795826715132353,0.5106133050655943,0.42688886590177155,0.4627723843161325,0.5413940186086891,unknown,1.1,unknown,unknown,unknown,unknown,1.0,unknown,unknown,0.8019822355184234,4.07340488198082e-41,0.6283860385661699,3.4496001759629814e-34,unknown,unknown,unknown,unknown,unknown,201.0,0.802555371615675,unknown,42.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.1768519404169193,unknown,unknown,1.1,unknown,unknown,unknown,unknown,unknown,0.355551019502356,unknown,unknown,unknown,unknown,unknown,17.0,14.0,78.0,64.0,17.0,0.0,201.0,0.615016992353441,0.5762006674480856,0.4305630718167485,0.335762450690333,0.8,98.0,98.0,-7.0,unknown,unknown,0.0,8
0.9027187765505524,0.9557371682459136,0.7789699880684353,0.478640518318207,QSSI_TOP40.csv,unknown,unknown,unknown,-0.1658001547504036,-0.0500719243891727,FRA,unknown,unknown,unknown,1.0,1.0,France,0.9027187765505524,0.9557371682459136,0.7789699880684355,0.478640518318207,0.4866030961850762,11.0,0.41045876521796854,0.4866030961850762,-5.551115123125783e-17,0.3443274348062439,0.3960527156972023,0.3443274348062439,unknown,unknown,unknown,0.4678027282425281,0.4320966387459358,0.4981828818047356,0.4795826715132353,0.5106133050655943,0.42688886590177155,0.4627723843161325,0.8002205257073943,Advanced Strategic System,1.1,unknown,unknown,unknown,unknown,1.0,unknown,unknown,0.8019822355184234,4.07340488198082e-41,0.6283860385661699,3.4496001759629814e-34,unknown,unknown,unknown,unknown,unknown,201.0,0.802555371615675,unknown,42.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.1768519404169193,unknown,unknown,1.1,unknown,unknown,unknown,unknown,unknown,0.355551019502356,unknown,unknown,unknown,unknown,unknown,17.0,14.0,78.0,64.0,17.0,0.0,201.0,0.615016992353441,0.5762006674480856,0.4305630718167485,0.335762450690333,0.8,98.0,98.0,-7.0,unknown,unknown,0.0,9
0.9027187765505524,0.9557371682459136,0.7789699880684353,0.478640518318207,QSSI_GLOBAL_RANKINGS_2026.csv,unknown,unknown,unknown,-0.1658001547504036,-0.0500719243891727,FRA,unknown,unknown,unknown,1.0,1.0,France,0.9027187765505524,0.9557371682459136,0.7789699880684355,0.478640518318207,0.4866030961850762,11.0,0.41045876521796854,0.4866030961850762,-5.551115123125783e-17,0.3443274348062439,0.3960527156972023,0.3443274348062439,unknown,unknown,unknown,0.4678027282425281,0.4320966387459358,0.4981828818047356,0.4795826715132353,0.5106133050655943,0.42688886590177155,0.4627723843161325,0.8002205257073943,Advanced Strategic System,1.1,unknown,unknown,unknown,unknown,1.0,unknown,unknown,0.8019822355184234,4.07340488198082e-41,0.6283860385661699,3.4496001759629814e-34,unknown,unknown,unknown,unknown,unknown,201.0,0.802555371615675,unknown,42.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0.1768519404169193,unknown,unknown,1.1,unknown,unknown,unknown,unknown,unknown,0.355551019502356,unknown,unknown,unknown,unknown,unknown,17.0,14.0,78.0,64.0,17.0,0.0,201.0,0.615016992353441,0.5762006674480856,0.4305630718167485,0.335762450690333,0.8,98.0,98.0,-7.0,unknown,unknown,0.0,10
