country,QSSI_SCORE,QSSI_RANK,SCI_SCORE,SCI_PLUS_SCORE,SCI_ULTRA_SCORE,SCI_ADJUSTED_SCORE,SCI_GAP,SCI_PLUS_GAP,SCI_ULTRA_GAP
denmark,0.967511269635524,1,0.9396167801535984,0.9273174456192498,0.8753998576137579,0.8753998576137579,0.027894489481925633,0.04019382401627425,0.09211141202176609
norway,0.9282912233058532,3,0.9075114421782235,0.8705131506336841,0.855009315632975,0.855009315632975,0.020779781127629682,0.05777807267216917,0.07328190767287823
singapore,0.9224904660748424,4,0.9197012878860896,0.8992783437224171,0.8374242680862908,0.8374242680862908,0.0027891781887527944,0.023212122352425313,0.08506619798855164
netherlands,0.9091247509897454,6,0.9078515830884696,0.8795900953243435,0.7525794836374291,0.5644346127280718,0.0012731679012758512,0.02953465566540192,0.15654526735231633
ireland,0.8870826028713114,7,0.8508633316009733,0.826835820614186,0.8033132166043558,0.8033132166043558,0.03621927127033808,0.06024678225712532,0.08376938626695551
australia,0.8861420356033753,8,0.8987831693878046,0.894183115474056,0.8089608984427857,0.8089608984427857,-0.012641133784429215,-0.0080410798706807,0.07718113716058961
germany,0.8803323286980798,9,0.8812118678055623,0.8942573596188881,0.8044732312636547,0.8044732312636547,-0.0008795391074825076,-0.013925030920808323,0.0758590974344251
luxembourg,0.8692613590182156,10,0.850078363193395,0.8263125083424673,0.7917286570923164,0.7917286570923164,0.019182995824820526,0.042948850675748274,0.07753270192589912
finland,0.8519107261821574,11,0.8859960269039484,0.91514716718547,0.7879156777647192,0.7879156777647192,-0.034085300721791056,-0.0632364410033126,0.0639950484174382
canada,0.8475741605719231,12,0.85889214452442,0.9000515741179509,0.7809736828761035,0.7809736828761035,-0.011317983952496835,-0.05247741354602775,0.06660047769581967
estonia,0.8468442129321457,13,0.8424224030862926,0.8890717464925326,0.7487755369802631,0.5615816527351973,0.004421809845853164,-0.04222753356038689,0.09806867595188262
sweden,0.8369949390169176,14,0.8577167558874346,0.8254928471704958,0.7667092768213258,0.7667092768213258,-0.020721816870516996,0.011502091846421814,0.07028566219559174
france,0.8330898230228764,15,0.8522926134357722,0.8691013344740323,0.7645157874764792,0.7645157874764792,-0.019202790412895854,-0.036011511451155886,0.06857403554639718
japan,0.8210516481167399,17,0.8436049491957915,0.8396972671783894,0.7553829330333746,0.7553829330333746,-0.022553301079051624,-0.01864561906164952,0.06566871508336536
switzerland,0.8103037095142867,18,0.8244562382269328,0.8151430146661568,0.7470343602730322,0.7470343602730322,-0.014152528712646162,-0.0048393051518701435,0.06326934924125449
united arab emirates,0.8076381340072227,19,0.7549114467711335,0.783506526677782,0.7382479247353328,0.7382479247353328,0.0527266872360892,0.024131607329440752,0.06939020927188988
belgium,0.80028890540535,21,0.7833307949779766,0.8408271570031598,0.7399547958756401,0.7399547958756401,0.016958110427373385,-0.04053825159780977,0.06033410952970997
austria,0.7985233446339347,22,0.8241506085169259,0.8355778908096413,0.7380637958518065,0.7380637958518065,-0.02562726388299119,-0.03705454617570658,0.060459548782128225
lithuania,0.7973146527600518,23,0.7756983165309712,0.8386770991543208,0.7080552407685099,0.5310414305763824,0.021616336229080546,-0.041362446394269003,0.08925941199154186
spain,0.7943751344364643,24,0.7870487668963311,0.8256054367810716,0.7310045619295971,0.7310045619295971,0.007326367540133272,-0.03123030234460722,0.06337057250686728
poland,0.7708366380716357,25,0.7445573847721866,0.8090662938979687,0.6902887793741215,0.5177165845305911,0.026279253299449135,-0.038229655826332976,0.08054785869751424
iceland,0.768916725836566,26,0.7896697121405785,0.7889783354230874,0.7129433724835645,0.7129433724835645,-0.020752986304012455,-0.020061609586521367,0.055973353353001465
saudi arabia,0.748378264315744,29,0.7413963995687345,0.7567961270418581,0.6893035358900217,0.6893035358900217,0.006981864747009459,-0.008417862726114111,0.059074728425722256
slovenia,0.7375401382142214,30,0.718888689358737,0.7801653850893421,0.6654656040099083,0.4990992030074312,0.01865144885548442,-0.042625246875120704,0.07207453420431309
italy,0.7373427020582872,31,0.7187184483854139,0.7770782292549602,0.6840871083033842,0.6840871083033842,0.018624253672873348,-0.03973552719667295,0.053255593754903074
new zealand,0.7321828670197931,32,0.8298836083536534,0.7685984180301615,0.6838573375135343,0.6838573375135343,-0.09770074133386031,-0.03641555101036842,0.04832552950625879
portugal,0.7286671425532509,33,0.7344402142484521,0.7728327001814943,0.6783341536119561,0.6783341536119561,-0.005773071695201137,-0.04416555762824337,0.05033298894129479
cyprus,0.7086460938026848,34,0.6744841805181352,0.7387385332596121,0.6602119524121601,0.6602119524121601,0.03416191328454965,-0.0300924394569273,0.04843414139052471
india,0.6996441310166055,35,0.6356362044816086,0.6774391462332785,0.643533797900114,0.643533797900114,0.06400792653499687,0.022204984783326998,0.056110333116491495
greece,0.6903429335436105,36,0.6407457852248637,0.7133080086149333,0.6423697826847518,0.6423697826847518,0.04959714831874684,-0.022965075071322727,0.04797315085885878
latvia,0.689215530491084,37,0.698373960602118,0.7546650533156006,0.6453630553259151,0.4840222914944363,-0.00915843011103401,-0.06544952282451666,0.04385247516516888
china,0.6793393104184358,38,0.6930257463051135,0.6921219503829615,0.6169078314086622,0.4626808735564967,-0.013686435886677728,-0.012782639964525777,0.06243147900977353
hungary,0.6651660760584462,39,0.6465577466917947,0.7466714629602053,0.6267473760529683,0.6267473760529683,0.018608329366651577,-0.08150538690175901,0.03841870000547798
chile,0.665091965653459,40,0.6939940914361273,0.7488068794224422,0.6295676889329589,0.6295676889329589,-0.028902125782668375,-0.08371491376898321,0.03552427672050007
uruguay,0.6523571552104932,41,0.6945111595836269,0.7343894844689487,0.6190120337051097,0.6190120337051097,-0.04215400437313366,-0.0820323292584555,0.03334512150538349
romania,0.6467909714960554,42,0.6124429793790767,0.7209900236358954,0.61147371695217,0.61147371695217,0.0343479921169787,-0.07419905213984002,0.035317254543885346
malta,0.6432656268529815,43,0.6721876096887461,0.639855461117901,0.6001516372103471,0.6001516372103471,-0.028921982835764637,0.0034101657350804615,0.043113989642634354
jordan,0.6427334705910118,44,0.5999144169548429,0.7155759098022374,0.6077880883480862,0.6077880883480862,0.04281905363616889,-0.07284243921122557,0.03494538224292565
malaysia,0.6417114580107102,45,0.6642262885424767,0.6847107570741972,0.6044553057674213,0.6044553057674213,-0.022514830531766505,-0.042999299063486984,0.03725615224328882
serbia,0.6253921763450796,46,0.5967142354311669,0.6691915350339753,0.5864109886916855,0.4398082415187641,0.028677940913912736,-0.04379935868889573,0.03898118765339409
oman,0.6109868197574273,48,0.6366531326917959,0.6161658097866008,0.5747574752558786,0.5747574752558786,-0.025666312934368607,-0.005178990029173547,0.03622934450154869
qatar,0.6095159390545777,49,0.6749339503553211,0.5797350663088151,0.5707375017914643,0.5707375017914643,-0.06541801130074343,0.029780872745762577,0.03877843726311336
bahrain,0.6066134711157679,50,0.6275409088077758,0.6189411779477497,0.5549831601352375,0.4162373701014281,-0.02092743769200789,-0.01232770683198181,0.05163031098053039
brazil,0.5818359702041854,52,0.6219709065317394,0.653602241284541,0.5518584694738261,0.5518584694738261,-0.04013493632755394,-0.0717662710803556,0.02997750073035932
bulgaria,0.5800366164635414,53,0.5706483340179822,0.6518142674251856,0.5538994203340236,0.5538994203340236,0.009388282445559226,-0.07177765096164412,0.026137196129517815
rwanda,0.5783854176242116,54,0.5736208548236108,0.5977565823434664,0.548845353529675,0.548845353529675,0.00476456280060078,-0.01937116471925482,0.029540064094536578
croatia,0.5740443680359222,55,0.5584666767452091,0.6496050855446679,0.5609348971039048,0.4207011728279285,0.01557769129071307,-0.07556071750874571,0.01310947093201742
mauritius,0.5709206527247461,58,0.6173875942063987,0.5944719333791738,0.5439700913208696,0.5439700913208696,-0.046466941481652535,-0.023551280654427686,0.026950561403876527
kazakhstan,0.5698505441930789,59,0.5604848926786451,0.6303119335501361,0.5549240119429464,0.4161930089572098,0.009365651514433804,-0.06046138935705725,0.014926532250132518
thailand,0.5680759183096611,60,0.5966771871893783,0.5806649953678269,0.5361076411546313,0.5361076411546313,-0.028601268879717257,-0.01258907705816581,0.03196827715502981
ukraine,0.5593559989497466,61,0.5379933508396285,0.6565948308911033,0.5362168630451566,0.5362168630451566,0.02136264811011812,-0.09723883194135663,0.023139135904590047
argentina,0.5553201442839334,62,0.5782120616666506,0.5772050957698373,0.526345195425486,0.526345195425486,-0.02289191738271723,-0.02188495148590386,0.028974948858447425
philippines,0.5440346965193992,65,0.5785951987317595,0.5686103363960809,0.5165982368030709,0.5165982368030709,-0.03456050221236029,-0.024575639876681765,0.027436459716328243
