CONFIDENCE_TIER,Countries,Mean_QSSI,Mean_RAS,Mean_Coverage
A,87,0.5375829932018646,0.5375829932018646,1.0
B,59,0.4042503134652756,0.30318773509895675,0.75
C,27,0.3410023183057128,0.1705011591528564,0.5
D,22,0.39146493704464896,0.09786623426116224,0.25
