country,AI_INDEX,LEGAL_WGI_SCORE,PQC,RES_INDEX,AI_OBSERVED,LEGAL_OBSERVED,PQC_OBSERVED,RES_OBSERVED,AI_IMPUTED,LEGAL_IMPUTED,PQC_IMPUTED,RES_IMPUTED,OBSERVED_COUNT,CONFIDENCE_SCORE,CONFIDENCE_TIER,AI_NORM,LEGAL_NORM,PQC_NORM,RES_NORM,QSSI_ENTROPY,QSSI_CRITIC,QSSI_PCA,QSSI_SCORE,RANK_ENTROPY,RANK_CRITIC,RANK_PCA,QSSI_KNN_SCORE,KNN_RANK,QSSI_TIER,QSSI_RANK,COVERAGE_SCORE,IMPUTATION_BURDEN,RAS_SCORE,RAS_RANK,RANK_CHANGE,ABS_RANK_CHANGE
Republic of Korea,0.9183507486626918,0.9237964433958976,0.876683299097162,0.6550812476968273,True,False,False,False,False,True,True,True,1,0.25,D,0.9691424139563434,0.9608126600313072,0.8914421233008484,0.8809609124404899,0.6604606811129263,0.6276465837035354,0.6633805958379797,0.9333362736572122,37.0,44.0,42.0,0.9333362736572122,2,Platinum,2,0.25,0.75,0.23333406841430304,121,-119,119
United Kingdom of Great Britain and Northern Ireland,0.9240477396822298,0.8930701923746656,0.8818428894553321,0.6013594754184688,True,False,False,False,False,True,True,True,1,0.25,D,0.975194084416659,0.9260562267701504,0.8967418617989971,0.7872233537204025,0.6628545975069465,0.6294625639386473,0.6655602145808119,0.9102055040631416,36.0,43.0,40.0,0.9102055040631416,5,Platinum,5,0.25,0.75,0.2275513760157854,124,-119,119
United States of America,0.947399817300537,0.7571854095710073,0.9027187765505524,0.441822938333823,True,False,False,False,False,True,True,True,1,0.25,D,1.0,0.7723482335151776,0.9181847932802444,0.5088526879969311,0.6726673076293918,0.6369063024416939,0.6744945144395229,0.8330898230228764,32.0,40.0,38.0,0.8330898230228765,16,Gold,16,0.25,0.75,0.2082724557557191,129,-113,113
Taiwan,0.7590376695795309,0.8272813817603069,0.819514513272701,0.5533431744083802,True,False,False,False,False,True,True,True,1,0.25,D,0.7999109281907748,0.8516382834984899,0.832720481834379,0.703441105954393,0.5935161852393908,0.5768637403011765,0.6024288105960688,0.8007265317092781,48.0,51.0,50.0,0.8007265317092781,20,Gold,20,0.25,0.75,0.20018163292731952,134,-114,114
Czechia,0.7541098835777815,0.7569119935642942,0.9107676570051112,0.4577936282987154,True,True,False,False,False,False,True,True,2,0.5,C,0.7946763513976447,0.7720389551335328,0.9264523026464628,0.5367194806378637,0.6692246318674119,0.6435922176781093,0.68931223428074,0.767921617850964,33.0,38.0,35.0,0.767921617850964,27,Gold,27,0.5,0.5,0.383960808925482,81,-54,54
Egypt,0.7068441861169577,0.5862050145616416,0.6460280373831776,0.3808603910891888,True,False,True,False,False,True,False,True,2,0.5,C,0.744468017888092,0.5789413423196712,0.6545216537580452,0.402480911532437,0.5764765588227403,0.568499173005498,0.5899401491833657,0.6194481038135639,51.0,56.0,55.0,0.6194481038135639,47,Silver,47,0.5,0.5,0.3097240519067819,97,-50,50
