country,AI_INDEX,LEGAL_WGI_SCORE,PQC,RES_INDEX,AI_OBSERVED,LEGAL_OBSERVED,PQC_OBSERVED,RES_OBSERVED,AI_IMPUTED,LEGAL_IMPUTED,PQC_IMPUTED,RES_IMPUTED,OBSERVED_COUNT,CONFIDENCE_SCORE,CONFIDENCE_TIER,AI_NORM,LEGAL_NORM,PQC_NORM,RES_NORM,QSSI_ENTROPY,QSSI_CRITIC,QSSI_PCA,QSSI_SCORE,RANK_ENTROPY,RANK_CRITIC,RANK_PCA,QSSI_KNN_SCORE,KNN_RANK,QSSI_TIER,QSSI_RANK
Côte D'Ivoire,0.4542193619161699,0.4478760167243679,0.4909609358329809,0.316678098376859,True,False,False,False,False,True,True,True,1,0.25,D,0.4761154470458174,0.4224685406722568,0.4952425190142193,0.2904910948015493,0.4654293510825033,0.4796994618042415,0.4858080024777245,0.4315842818121324,91.0,89.0,91.0,0.4315842818121325,99,Bronze,99
Kyrgyzstan,0.3000051028179664,0.4092232770434524,0.5929269328802039,0.2582999191353047,True,False,True,False,False,True,False,True,2,0.5,C,0.3123002201754467,0.3787459476962284,0.5999781826115413,0.1886287069362957,0.3971423838102034,0.4246490461730263,0.4214786855343627,0.3664417414382034,112.0,110.0,109.0,0.3664417414382035,112,Bronze,112
"Venezuela, Bolivarian Republic of",0.2070694831611816,0.4855547105221325,0.192881821285005,0.4454227729710979,True,False,False,False,False,True,True,True,1,0.25,D,0.2135786771259165,0.4650893278761575,0.1890667862135494,0.5151339348058734,0.361575203427611,0.4009176463879757,0.3912506289140957,0.3266034848776059,127.0,121.0,124.0,0.3266034848776059,125,Emerging,125
Saint Lucia,0.2017192548333025,0.4865113969740615,0.2258225987948967,0.4113072056160158,True,False,False,False,False,True,True,True,1,0.25,D,0.2078953578760301,0.4661714972822248,0.2229023224885729,0.4556066730907127,0.3593269991980561,0.399212200677522,0.3892036785324146,0.3206759741580185,129.0,123.0,125.0,0.3206759741580185,127,Emerging,127
Democratic Republic of the Congo,0.2195818549234346,0.4754167610178115,0.2378935647888491,0.3826806237675022,True,False,False,False,False,True,True,True,1,0.25,D,0.2268700357259967,0.4536216429604667,0.2353011678904552,0.4056569826174254,0.3668329915805162,0.4049061062146978,0.3960377524880598,0.3173883628216353,123.0,117.0,120.0,0.3173883628216353,128,Emerging,128
Lesotho,0.2730036145402973,0.3863100548279978,0.3527020453839861,0.2813368227335033,True,True,False,False,False,False,True,True,2,0.5,C,0.2836176913748687,0.3528273324320622,0.3532281509038522,0.2288251303263529,0.3675567172497341,0.4028582374120647,0.3916824611697964,0.3046090065774642,122.0,119.0,123.0,0.3046090065774642,132,Emerging,132
State of Palestine,0.3183988206584764,0.3709208575187797,0.2386878297759329,0.2884471514796717,True,False,False,False,False,True,True,True,1,0.25,D,0.3318390817479939,0.3354196243178829,0.2361170072183031,0.2412317362534545,0.4083565877155935,0.4364051301824626,0.4338442559365024,0.2945162644832679,106.0,102.0,107.0,0.2945162644832679,135,Emerging,135
Cuba,0.277986343757603,0.3419236346590867,0.2786286152324228,0.3289026290980928,True,True,False,False,False,False,True,True,2,0.5,C,0.2889106320013692,0.3026190057072563,0.2771426901961921,0.3118213230816165,0.3577331015694209,0.3939816596822973,0.379987576288619,0.2940675692343232,130.0,126.0,133.0,0.2940675692343232,136,Emerging,136
Palau,0.1577879901230943,0.620845503984753,0.2063523785688123,0.2808227510044284,True,True,False,False,False,False,True,True,2,0.5,C,0.1612290499918657,0.6181254216899862,0.2029032395117199,0.2279281415107045,0.3821131550540496,0.4214278114593451,0.4194701579103438,0.2922634747954487,117.0,112.0,111.0,0.2922634747954487,137,Emerging,137
Gambia (Republic of The),0.187906560302883,0.4616492581570636,0.2068154202465683,0.3556899073661041,True,False,False,False,False,True,True,True,1,0.25,D,0.1932227218861837,0.4380483374497581,0.2033788586278703,0.35856166620709,0.3535228061128708,0.3948092482812736,0.3839190628845633,0.2858344525946513,131.0,124.0,130.0,0.2858344525946513,138,Emerging,138
