country,rule_of_law,regulatory_quality,government_effectiveness,control_of_corruption,LEGAL_WGI_SCORE,rank
Bhutan,0.708756678730631,0.4664853582538819,0.6184612118668625,0.8126839502318393,0.6515967997708036,56
Mauritius,0.6728772032952928,0.7139484981887754,0.659902814449661,0.5526412159451819,0.6498424329697279,57
Italy,0.668285061033495,0.641997324765095,0.6659524417960483,0.6015085441230796,0.6444358429294295,58
Réunion,0.6715566285072911,0.6392124313839679,0.660358448921168,0.6012847260884057,0.6431030587252082,59
Saudi Arabia,0.5715553532868193,0.6588200388027837,0.6639339004579163,0.647385474028032,0.6354236916438878,60
Malaysia,0.6034431520554201,0.6516738574552586,0.6934615161921491,0.5889252878810932,0.6343759533959803,61
Oman,0.6281011841782475,0.6533629579186196,0.615468245666464,0.5909591805626777,0.6219728920815022,62
Palau,0.7988426534323861,0.6038513400589731,0.4902608721275455,0.5904271503201074,0.620845503984753,63
Costa Rica,0.667702316034601,0.6280029835743839,0.5524443654072121,0.6304767004759575,0.6196565913730386,64
Malta,0.6938310393441952,0.6063606475321023,0.6278178780931746,0.5357099250258983,0.6159298724988426,65
St. Kitts and Nevis,0.6614819372591056,0.6035632526047786,0.643290000257385,0.5543913668230307,0.6156816392360751,66
Samoa,0.7709085586244522,0.4639793861260911,0.5855927782688657,0.6325162454762494,0.6132492421239146,67
"Bahamas, The",0.5811705156440334,0.4626548461068061,0.6473132479243106,0.7575050040253241,0.6121609034251185,68
Virgin Islands (U.S.),0.6588470100019163,0.7528515582961375,0.5721848350060593,0.4578981067075974,0.6104453775029277,69
Bahrain,0.5615197703770355,0.7164053519575176,0.6228221146155958,0.5327855623788285,0.6083831998322443,70
Antigua and Barbuda,0.6641610358821726,0.6406665699656471,0.5845775895397985,0.5397524817470315,0.6072894192836624,71
Cook Islands,0.74277449789022,0.502957071585989,0.6062038877005105,0.5743366073432076,0.6065680161299818,72
Cabo Verde,0.6221492168360049,0.4992239803171433,0.581259298485071,0.6905682698771713,0.5983001913788477,73
Botswana,0.5956234953906696,0.5848368242281404,0.5816397837013079,0.6194257740494328,0.5953814693423877,74
Slovak Republic,0.6545011343429153,0.5855019256820271,0.635697634613181,0.4998720416143004,0.593893184063106,75
Georgia,0.557031514814525,0.6443713467920515,0.5904838358803152,0.5619708045331229,0.5884643755050036,76
St. Vincent and the Grenadines,0.6405054831996092,0.5138748326478478,0.5482516613353219,0.636400881927152,0.5847582147774828,77
Fiji,0.5941316530517363,0.5040083532404259,0.6247779716825208,0.6036971862619612,0.581653791059161,78
Croatia,0.6110963202886324,0.5569885622849946,0.6474174372235328,0.5085713736894489,0.5810184233716522,79
St. Lucia,0.6408558257737483,0.532026837772282,0.5482516613353219,0.577640295720124,0.5746936551503691,80
Puerto Rico (U.S.),0.650974404479729,0.6450348885520749,0.4306896352377328,0.5657878429285885,0.5731216927995313,81
