country,oecd_ai,oxford_ai,AI_INDEX,rank,rule_of_law,regulatory_quality,government_effectiveness,control_of_corruption,LEGAL_WGI_SCORE,SCI_SCORE
Denmark,0.9245908016099024,0.9012295170215971,0.9129101593157498,1,0.9959884734264756,0.9516701741782122,0.9176349563611014,1.0,0.9663234009914472,0.9396167801535985
Singapore,0.9042673194469224,0.8810318468594561,0.8926495831531893,2,0.8603894069067882,1.0,1.0,0.92662256356917,0.9467529926189896,0.9197012878860895
Netherlands,0.9214648776987578,0.898968583794492,0.9102167307466248,3,0.9256282193845768,0.9015490999426632,0.8814974627805683,0.9132709596134476,0.905486435430314,0.9078515830884695
Norway,0.901367837230326,0.879093904093366,0.890230870661846,4,0.9830091422424684,0.889221903524776,0.9019489305784836,0.9249880784326772,0.9247920136946012,0.9075114421782235
Australia,0.9172218414278416,0.8951142309597124,0.906168036193777,5,0.8696698416344153,0.9016674927045318,0.894310073912639,0.8999458020757428,0.8913983025818323,0.8987831693878046
Finland,0.8272939646835228,0.799810512262871,0.8135522384731969,6,1.0,0.959543796743575,0.8961328588524048,0.97808260574282,0.9584398153347,0.8859960269039484
Germany,0.9067441105003616,0.8823668740983184,0.89455549229934,7,0.9064319163220674,0.8478558948449597,0.8352988629284321,0.8818862991516789,0.8678682433117846,0.8812118678055623
Canada,0.8770298175437337,0.8509722012876554,0.8640010094156945,8,0.8674053197892144,0.8152583650881003,0.8830982587068588,0.8493711749484089,0.8537832796331456,0.85889214452442
Sweden,0.8211488181784009,0.7932430395555652,0.807195928866983,9,0.9303078526538816,0.8895435363946762,0.8865951696142947,0.9265037729686912,0.908237582907886,0.8577167558874346
France,0.9557371682459136,0.9390624663551604,0.947399817300537,10,0.7533287098902055,0.763414357030002,0.757679407168053,0.7543191641957685,0.7571854095710073,0.8522926134357722
Ireland,0.8393578159992189,0.8126224672164682,0.8259901416078436,11,0.8982784310699922,0.918971840207204,0.8499545174068001,0.8357412976924156,0.875736521594103,0.8508633316009733
Luxembourg,0.7777101014793892,0.7466678150771948,0.762188958278292,12,0.938604332943646,0.9295816697098692,0.9461169059187472,0.9375681638617304,0.937967768108498,0.850078363193395
Japan,0.8433291222366771,0.8160892314980297,0.8297091768673535,13,0.8794111774754142,0.8074415153793613,0.9569415429979288,0.7862086502442146,0.8575007215242297,0.8436049491957915
Estonia,0.8655859353861813,0.836846751792597,0.8512163435893891,14,0.8734662605172272,0.8237747015015892,0.7793055705721805,0.8579673177417875,0.8336284625831961,0.8424224030862926
New Zealand,0.7589576435916553,0.7265132103098556,0.7427354269507555,15,0.91629043522423,0.930983426573032,0.9033251995756246,0.917528097653318,0.9170317897565512,0.8298836083536534
Switzerland,0.7411088954293581,0.7120432376563812,0.7265760665428697,16,0.9390499266795548,0.9133617653526964,0.9013282642098684,0.9356056834018648,0.922336409910996,0.8244562382269328
Austria,0.8297858518499326,0.8011670721991345,0.8154764620245336,17,0.9187240716507348,0.8125828182444349,0.8281592794080305,0.7718328507340729,0.8328247550093182,0.8241506085169259
Iceland,0.7250867769364174,0.7001787213884285,0.7126327491624229,18,0.906929749145206,0.8075971728269175,0.8576849860906499,0.8946147924121619,0.8667066751187339,0.7896697121405785
Spain,0.8962945147460656,0.874055252901531,0.8851748838237983,19,0.742235853280183,0.6373635462831354,0.7374906473315523,0.6386005529805848,0.6889226499688639,0.7870487668963311
Belgium,0.7872679980420839,0.7559053422622252,0.7715866701521545,20,0.8252849768784076,0.7867847138963563,0.7563405106636703,0.8118894777767601,0.7950749198037986,0.7833307949779766
Lithuania,0.7909826703590542,0.7590060506879698,0.774994360523512,21,0.8469180156973253,0.7983126991834042,0.7578571286435317,0.7025212466294602,0.7764022725384304,0.7756983165309712
Israel,0.8479203976322791,0.8182425012381301,0.8330814494352046,22,0.663674724995393,0.7556697571400685,0.751373585095167,0.6704753108327239,0.7102983445158382,0.7716898969755214
Czechia,0.7692391250505265,0.7389806421050367,0.7541098835777815,23,0.8028873972515947,0.7839914701542381,0.7524299644202189,0.6883391424311248,0.7569119935642942,0.7555109385710379
United Arab Emirates,0.798396918880025,0.7651859348420577,0.7817914268610413,24,0.6393360184886622,0.758510919476725,0.7709899887985834,0.7432889399609328,0.7280314666812258,0.7549114467711335
Poland,0.8522842028069547,0.8222691156521178,0.8372766592295362,25,0.6582789335872987,0.6529598610384753,0.6392512331238153,0.6568624135097586,0.651838110314837,0.7445573847721866
Saudi Arabia,0.8615089563579337,0.8332292586292285,0.8473691074935811,26,0.5715553532868193,0.6588200388027837,0.6639339004579163,0.647385474028032,0.6354236916438878,0.7413963995687345
Portugal,0.7828890967544386,0.7518571951508367,0.7673731459526376,27,0.7754486274120684,0.6659946305739108,0.7008084900960423,0.6637773820950443,0.7015072825442665,0.7344402142484521
Slovenia,0.7549410490152872,0.722981847936091,0.7389614484756891,28,0.7533295616144539,0.6799132186334464,0.7326672824443659,0.6293536582748728,0.6988159302417848,0.718888689358737
Italy,0.8085425353221671,0.7774595723606297,0.7930010538413984,29,0.668285061033495,0.641997324765095,0.6659524417960483,0.6015085441230796,0.6444358429294295,0.7187184483854139
Latvia,0.6950986968935751,0.6727891302943521,0.6839439135939636,30,0.7799979705303883,0.7522960193373244,0.6549228624113261,0.6639991781620507,0.7128040076102724,0.698373960602118
Uruguay,0.6862513461668432,0.6623673047522665,0.6743093254595549,31,0.7466814279942503,0.643604841241761,0.6430866750308581,0.8254790305639254,0.7147129937076987,0.6945111595836269
Chile,0.7014562175066537,0.6774617256303698,0.6894589715685118,32,0.6852842940794684,0.6757243848177478,0.7046212704374644,0.7284868958802915,0.698529211303743,0.6939940914361273
China,0.8878698551824906,0.8642363428866735,0.8760530990345821,33,0.3847261615454499,0.4712853761063778,0.6891968521041544,0.4947851845465974,0.5099983935756449,0.6930257463051135
Qatar,0.6664088825661427,0.6472513511767619,0.6568301168714523,34,0.6612793215240347,0.7202669380054081,0.7427594501086879,0.6478454257186291,0.6930377838391899,0.6749339503553211
Cyprus,0.7038575279952438,0.6786890893822269,0.6912733086887354,35,0.6848432665318909,0.6658564656929137,0.6833244072069079,0.596756069958427,0.6576950523475349,0.6744841805181352
Malta,0.743555494256858,0.7133351995004414,0.7284453468786497,36,0.6938310393441952,0.6063606475321023,0.6278178780931746,0.5357099250258983,0.6159298724988426,0.6721876096887461
Malaysia,0.7070740285842079,0.6810792187937383,0.694076623688973,37,0.6034431520554201,0.6516738574552586,0.6934615161921491,0.5889252878810932,0.6343759533959803,0.6642262885424767
Hungary,0.7532794480622215,0.7228095863568831,0.7380445172095522,38,0.5672923551289806,0.5687865665727131,0.6007344997473987,0.4834704832470557,0.555070976174037,0.6465577466917947
Greece,0.7270955884877905,0.7008462350078594,0.713970911747825,39,0.592362692765012,0.6034857718127086,0.5309676695146872,0.5432665007152021,0.5675206587019025,0.6407457852248637
