CORE_STABLE,FRAGILE_TRANSITIONAL,HIGH_VOLATILE,STABLE_MEDIUM
0.35,0.25,0.2,0.2
0.3361326931753654,0.24415753723516861,0.21727804515968668,0.20243172442977947
0.35464028586180185,0.23126057261401167,0.21963199495831237,0.19446714656587416
0.3612480317826012,0.23489108731082728,0.22044632350110138,0.18341455740547014
0.3640426656749409,0.21705177358339892,0.22053584064614787,0.19836972009551226
0.37490108296038094,0.21823192476782352,0.19407870507830718,0.2127882871934884
0.36482301721438964,0.21576941527770183,0.20169582722354362,0.21771174028436494
0.38921896558801033,0.19168766722850847,0.20322460920343052,0.21586875798005067
0.37478695512028853,0.22796606789808702,0.19532824004078858,0.20191873694083579
0.3913006646848751,0.20460642479426333,0.20427248624000652,0.19982042428085506
0.39919520288505883,0.19288596826748056,0.20132456230602375,0.20659426654143676
0.40710896946772346,0.19608438854898327,0.22906362552176304,0.16774301646153025
0.4027193401914016,0.21659791593520156,0.22960371731171203,0.15107902656168487
0.4071674184595809,0.2463875019251692,0.20566972230103697,0.14077535731421292
0.3911045396568761,0.2505691480821115,0.2012278371958646,0.1570984750651478
0.3946534042730465,0.25456538729066314,0.20001148942080127,0.1507697190154891
0.3887749044690278,0.2496547774571191,0.19946611047521645,0.16210420759863678
0.3964540476354226,0.2526563123925479,0.2147170058081651,0.13617263416386433
0.38102841011378114,0.2769214283901684,0.20225430877340933,0.13979585272264106
0.3788349815737816,0.2858962398968958,0.18875293905759846,0.14651583947172406
0.3809732297512081,0.2856059915979886,0.18735450798517972,0.1460662706656235
0.36974452097282756,0.2806614949302944,0.18964346469190285,0.15995051940497512
0.37200346023387637,0.27489369119658896,0.1835140596905441,0.1695887888789905
0.3713850019200006,0.25984856448128907,0.19760190699765204,0.17116452660105833
0.36314127496567994,0.2621001347787297,0.20295048888885037,0.1718081013667401
0.33511069672305377,0.28982202146946257,0.18548535251300272,0.18958192929448098
0.31201561250487986,0.28975974235910806,0.18683229188672518,0.2113923532492869
0.29946719797200466,0.2775718218809539,0.20055939788830135,0.2224015822587401
0.31880819503563324,0.2722620792654315,0.2007934698419703,0.20813625585696505
0.33538973335198763,0.2622051608303494,0.19668270985114594,0.20572239596651715
