,0
STABLE MEDIUM SYSTEMS,0.6186809164866333
HIGH CAPABILITY VOLATILE POWERS,0.5768123573815447
FRAGILE / TRANSITIONAL SYSTEMS,0.5352793600901194
CORE STABLE POWERS,0.3889565875976726
