state,value,timestamp
restored_48_full,0.5079405755534206,2026-06-06T13:47:03.828137
restored_48_full,0.41536062514170824,2026-06-06T13:47:03.828137
restored_48_full,0.7239900032579154,2026-06-06T13:47:03.828137
restored_48_full,0.9291639237847426,2026-06-06T13:47:03.828137
restored_48_full,0.5476132863671453,2026-06-06T13:47:03.828137
restored_48_full,0.31985327674188413,2026-06-06T13:47:03.828137
restored_48_full,0.3639911568102664,2026-06-06T13:47:03.828137
restored_48_full,0.9953919210566465,2026-06-06T13:47:03.828137
restored_48_full,0.38019720552880953,2026-06-06T13:47:03.828137
restored_48_full,0.6666317102310969,2026-06-06T13:47:03.828137
