ISO3,country,MEAN_RANK,MEDIAN_RANK,RANK_STD,RANK_P02_5,RANK_P97_5,CI_WIDTH,RELIABILITY_SCORE,RELIABILITY_TIER,SOVEREIGN_STABILITY
LBN,Lebanon,162.1246,165.0,16.83021315491878,123.0,183.0,60.0,0.5251661918366164,D,Moderately Stable
CAF,Central African Republic,162.5195,164.0,18.300312012367545,122.0,189.0,67.0,0.46976891421755496,D,Moderately Stable
TCD,Chad,162.5581,172.0,26.41429961952425,83.0,187.0,104.0,0.17695473251680172,D,Sensitive
AFG,Afghanistan,163.4763,165.0,18.045233118749227,123.0,188.0,65.0,0.485596707823001,D,Moderately Stable
AGO,Angola,163.526,163.0,7.278937010305782,147.97500000000002,175.0,27.024999999999977,0.7861269389064095,B,Highly Stable
TLS,Timor-Leste,163.5409,163.0,14.769019168177756,136.0,187.0,51.0,0.5963912630611239,D,Stable
GNB,Guinea Bissau,163.6558,164.0,16.273927809843627,130.0,190.0,60.0,0.5251661918366164,D,Moderately Stable
GTM,Guatemala,168.2691,169.0,12.62519248130502,140.0,186.0,46.0,0.6359607470747393,C,Stable
ERI,Eritrea,169.2182,171.0,18.728486024235895,126.0,193.0,67.0,0.46976891421755496,D,Moderately Stable
TJK,Tajikistan,169.3726,172.0,15.207220957163802,132.0,189.0,57.0,0.5489078822447855,D,Moderately Stable
MMR,Myanmar,169.6403,172.0,12.098079017348098,136.0,184.0,48.0,0.6201329534692931,C,Stable
SOM,Somalia,170.7423,172.0,14.552033902860444,142.0,192.0,50.0,0.6043051598638469,C,Stable
SWZ,Eswatini,172.4289,175.0,10.320569014836884,150.0,187.0,37.0,0.7071858182992468,B,Stable
SSD,South Sudan,172.8359,176.0,18.951701010463417,129.0,195.0,66.0,0.477682811020278,D,Moderately Stable
NIC,Nicaragua,173.4899,177.0,15.12385856816965,131.0,189.0,58.0,0.5409939854420625,D,Moderately Stable
MOZ,Mozambique,173.869,175.0,5.176141323418423,164.0,182.0,18.0,0.8575498575509849,A,Highly Stable
HND,Honduras,175.3782,177.0,7.417706165655162,161.0,186.0,25.0,0.8021525799319235,A,Highly Stable
GNQ,Equatorial Guinea,175.9589,180.0,13.192505857114355,148.0,192.0,44.0,0.6517885406801853,C,Stable
TKM,Turkmenistan,176.536,179.0,14.656278654556367,147.0,195.0,48.0,0.6201329534692931,C,Stable
COG,Congo,177.1721,179.0,10.02517239702137,146.0,189.0,43.0,0.6597024374829084,C,Stable
