state,value,timestamp
restored_48_full,0.28462279309594096,2026-06-06T13:47:03.823757
restored_48_full,0.5666272781403711,2026-06-06T13:47:03.823757
restored_48_full,0.4725738908720162,2026-06-06T13:47:03.823757
restored_48_full,0.9151173030627202,2026-06-06T13:47:03.823757
restored_48_full,0.059426824338476236,2026-06-06T13:47:03.823757
restored_48_full,0.03525479032434131,2026-06-06T13:47:03.823757
restored_48_full,0.24689158691478152,2026-06-06T13:47:03.823757
restored_48_full,0.22705839696003993,2026-06-06T13:47:03.823757
restored_48_full,0.001033383031730617,2026-06-06T13:47:03.823757
restored_48_full,0.022306501943531565,2026-06-06T13:47:03.823757
