state,value,timestamp
restored_48_full,0.12408271616932953,2026-06-06T13:47:03.819001
restored_48_full,0.10099463799145458,2026-06-06T13:47:03.819001
restored_48_full,0.6491531604534858,2026-06-06T13:47:03.819001
restored_48_full,0.3296451528771627,2026-06-06T13:47:03.819001
restored_48_full,0.27263813705352635,2026-06-06T13:47:03.819001
restored_48_full,0.691036537226255,2026-06-06T13:47:03.819001
restored_48_full,0.690558152874653,2026-06-06T13:47:03.819001
restored_48_full,0.5777299377387212,2026-06-06T13:47:03.819001
restored_48_full,0.5480420150790969,2026-06-06T13:47:03.819001
restored_48_full,0.7917445035052652,2026-06-06T13:47:03.819001
