state,value,timestamp
restored_48_full,0.1551965173054558,2026-06-06T13:47:03.825486
restored_48_full,0.0054715466756665165,2026-06-06T13:47:03.825486
restored_48_full,0.13688126676367374,2026-06-06T13:47:03.825486
restored_48_full,0.7427441901888948,2026-06-06T13:47:03.825486
restored_48_full,0.8071572041500372,2026-06-06T13:47:03.825486
restored_48_full,0.8682519393780631,2026-06-06T13:47:03.825486
restored_48_full,0.6411760549547707,2026-06-06T13:47:03.825486
restored_48_full,0.7737637054774449,2026-06-06T13:47:03.825486
restored_48_full,0.6246869930915759,2026-06-06T13:47:03.825486
restored_48_full,0.20005793701662422,2026-06-06T13:47:03.825486
