CORE_STABLE,FRAGILE_TRANSITIONAL,HIGH_VOLATILE,STABLE_MEDIUM
0.35,0.25,0.2,0.2
0.3394879720562729,0.2495439958649116,0.2116639293952309,0.19930410268358464
0.3390155692476521,0.24426939782254853,0.2153068559495008,0.20140817698029861
0.3251299074863263,0.25297173885143553,0.22288386546079852,0.19901448820143958
0.31286122066229416,0.25858227261097494,0.23788091169901737,0.19067559502771333
0.3127784246574417,0.2595901245707047,0.24870738503430895,0.1789240657375447
0.3246527202029038,0.25205390571319497,0.25452698856566797,0.16876638551823328
0.326808982468763,0.25563764206197215,0.2461836764830158,0.17136969898624896
0.324630782040059,0.26461692733490316,0.22954359336446437,0.1812086972605736
0.3230604994939332,0.2545387941551974,0.2286596087352881,0.19374109761558128
0.31093243822953026,0.26304924792604223,0.2288213771127768,0.19719693673165078
0.3020064889195353,0.2774441263221233,0.22725032476830298,0.1932990599900385
0.3045241338675624,0.27220768850006144,0.22173147119306194,0.2015367064393141
0.3064297894521992,0.27741868528293756,0.22283714204894106,0.19331438321592226
0.3069127203154552,0.2681864819556121,0.23645349286684167,0.18844730486209105
0.31337332230962517,0.2623902020161991,0.22741991026023708,0.19681656541393863
0.3194849552894521,0.25965352114738394,0.22625038803133235,0.1946111355318317
0.31203173300751846,0.26655708199730294,0.2224086185751201,0.1990025664200585
0.3016270870394439,0.2840101837864817,0.22130538408197675,0.19305734509209777
0.3064914905458326,0.28429564179480615,0.21989444968544597,0.18931841797391535
0.2941067085523021,0.28640307831576234,0.22143886757723297,0.19805134555470255
0.2955854377145847,0.2805225629733842,0.21278874241967238,0.2111032568923587
0.28355787463919463,0.27695186572833386,0.22446994797338202,0.21502031165908952
0.2875125867231433,0.2647545979181485,0.24034199281801946,0.2073908225406888
0.2815779809591419,0.2734767150589838,0.24124845385215973,0.20369685012971453
0.273352806664053,0.2872236272840843,0.2515797479806704,0.18784381807119233
0.2886816319209977,0.28617205804139045,0.23751698729239615,0.18762932274521574
0.3040165559751435,0.2774887753678704,0.24003881617031453,0.17845585248667162
0.299505894883074,0.2701322092112254,0.24664858200400114,0.18371331390169943
0.2925534701309554,0.2632332000450142,0.2587876394511864,0.1854256903728439
