time,CORE_STABLE,FRAGILE_TRANSITIONAL,HIGH_VOLATILE,STABLE_MEDIUM
0,0.35,0.25,0.2,0.2
1,0.3487107367136366,0.250548530617399,0.20079085839993796,0.1999498742690265
2,0.3474246167290419,0.2510957286128645,0.20158203180371,0.19989762285438356
3,0.34614163030725964,0.25164159475021264,0.20237352397598168,0.19984325096654607
4,0.34486176773627175,0.25218612978304944,0.20316533868136924,0.19978676379930968
5,0.343585019330923,0.2527293344547804,0.20395747968446365,0.19972816652983286
6,0.3423113754328462,0.25327120949862036,0.20474995074985478,0.19966746431867877
7,0.34104082641038624,0.2538117556376024,0.2055427556421548,0.19960466230985655
8,0.33977336265852626,0.2543509735845879,0.20633589812602254,0.19953976563086326
9,0.3385089745988123,0.2548888640422756,0.20712938196618708,0.19947277939272504
10,0.337247652679279,0.255425427703211,0.2079232109274716,0.19940370869003843
11,0.33598938737437534,0.2559606652497956,0.20871738877481735,0.19933255860101173
12,0.3347341691848904,0.25649457735429604,0.20951191927330753,0.199259334187506
13,0.33348198863787953,0.2570271646788534,0.21030680618819095,0.19918404049507604
14,0.3322328362865904,0.2575584278754922,0.21110205328490603,0.19910668255301134
15,0.3309867027103893,0.25808836758612946,0.21189766432910442,0.19902726537437676
16,0.32974357851468805,0.2586169844425837,0.21269364308667504,0.19894579395605336
17,0.32850345433087025,0.2591442790665836,0.21348999332376756,0.19886227327877865
18,0.32726632081621865,0.2596702520697773,0.21428671880681657,0.19877670830718747
19,0.326032168653842,0.26019490405374085,0.21508382330256506,0.19868910398985207
20,0.3248009885526023,0.2607182356099871,0.2158813105780883,0.19859946525932232
21,0.32357277124704226,0.26124024731997425,0.21667918440081751,0.198507797032166
22,0.32234750749731284,0.26176093975511466,0.2174774485385637,0.19841410420900873
23,0.3211251880891012,0.2622803134767834,0.21827610675954143,0.19831839167457396
24,0.3199058038335585,0.2627983690363265,0.21907516283239245,0.19822066429772273
25,0.31868934556722783,0.2633151069750695,0.2198746205262094,0.1981209269314933
26,0.31747580415197313,0.2638305278243262,0.22067448361055966,0.198019184413141
27,0.31626517047490693,0.2643446321054066,0.22147475585550894,0.19791544156417762
28,0.31505743544831943,0.26485742032962517,0.22227544103164493,0.19780970319041055
29,0.31385259000960714,0.2653688929983092,0.22307654291010112,0.19770197408198248
30,0.312650625121202,0.2658790506028071,0.2238780652625805,0.1975922590134104
31,0.3114515317705002,0.26638789362449616,0.22468001186137895,0.19748056274362458
32,0.31025530096979204,0.2668954225347909,0.22548238647940927,0.1973668900160077
33,0.30906192375619085,0.26740163779515097,0.22628519289022453,0.19725124555843374
34,0.3078713911915629,0.26790653985708873,0.2270884348680418,0.19713363408330647
35,0.3066836943624575,0.2684101291621778,0.22789211618776606,0.19701406028759857
36,0.30549882438003645,0.2689124061420604,0.2286962406250133,0.1968925288528898
37,0.3043167723800047,0.2694133712184551,0.2295008119561346,0.1967690444454057
38,0.30313752952254025,0.26991302480316465,0.23030583395823945,0.19664361171605568
39,0.301961086992225,0.2704113672980837,0.2311113104092196,0.19651623530047163
