state,value,timestamp
restored_48_full,0.3200148012454046,2026-06-06T13:47:03.820993
restored_48_full,0.6842298351999838,2026-06-06T13:47:03.820993
restored_48_full,0.5729203266461749,2026-06-06T13:47:03.820993
restored_48_full,0.19325286151546495,2026-06-06T13:47:03.820993
restored_48_full,0.6381946311650913,2026-06-06T13:47:03.820993
restored_48_full,0.5718362497902635,2026-06-06T13:47:03.820993
restored_48_full,0.5203425983943247,2026-06-06T13:47:03.820993
restored_48_full,0.6419675050450891,2026-06-06T13:47:03.820993
restored_48_full,0.508715238170027,2026-06-06T13:47:03.820993
restored_48_full,0.39228160134472845,2026-06-06T13:47:03.820993
