,0
CORE STABLE POWERS,-0.0008008055095121147
FRAGILE / TRANSITIONAL SYSTEMS,0.1886049267462756
HIGH CAPABILITY VOLATILE POWERS,0.2578704055680474
STABLE MEDIUM SYSTEMS,0.3695151312221566
