state,value,timestamp
restored_48_full,0.6464212453865374,2026-06-06T13:47:03.822796
restored_48_full,0.4656066244075119,2026-06-06T13:47:03.822796
restored_48_full,0.6946326583350748,2026-06-06T13:47:03.822796
restored_48_full,0.5491492876389643,2026-06-06T13:47:03.822796
restored_48_full,0.1613268998389329,2026-06-06T13:47:03.822796
restored_48_full,0.8008457306587191,2026-06-06T13:47:03.822796
restored_48_full,0.22647553246873464,2026-06-06T13:47:03.822796
restored_48_full,0.9102819412519841,2026-06-06T13:47:03.822796
restored_48_full,0.1728277091725947,2026-06-06T13:47:03.822796
restored_48_full,0.4962487993580613,2026-06-06T13:47:03.822796
