Country,LEGAL
Afghanistan,0.3076442925877123
Albania,0.48877582000488284
Algeria,0.4885747780684057
Angola,0.4231733781885424
Antigua and Barbuda,0.6371966059088409
Argentina,0.5404558096582658
Australia,0.7963013550880292
Austria,0.7942692280861129
The Bahamas,0.5839626307984821
Bangladesh,0.39126679857394076
Barbados,0.6610937627280792
Belarus,0.44475383449355604
Belgium,0.7814192129926592
Belize,0.4965043756511876
Benin,0.47187284049385664
Bolivia,0.36541580022398645
Bosnia and Herzegovina,0.5199486309947704
Botswana,0.5954810262827527
Brazil,0.5027119670522293
Bulgaria,0.5525168426762558
Burkina Faso,0.45197535596129257
Cambodia,0.31025397937993177
Cameroon,0.3563385109203532
Canada,0.7941397441595419
Chile,0.6550117246218259
China,0.47709016994119824
Colombia,0.4718429883461823
"Congo, Dem. Rep.",0.339088112842116
"Congo, Rep.",0.3995231863349876
Costa Rica,0.6756357162507178
Côte d'Ivoire,0.44405587963361237
Croatia,0.6074510143957599
Cyprus,0.6732345306529567
Czechia,0.7390240796496429
Denmark,0.8978637326116988
Dominica,0.5767943547591555
Dominican Republic,0.5037613767771438
Ecuador,0.4555063312738903
"Egypt, Arab Rep.",0.3462128123567313
El Salvador,0.41992069166654283
Estonia,0.8189234358236023
Ethiopia,0.3622067202628839
Finland,0.8707052973194124
France,0.723775477708249
Gabon,0.4020430063062661
The Gambia,0.4862589701685861
Georgia,0.5811493593171939
Germany,0.833324300010392
Ghana,0.5449980650796514
Greece,0.5969184614454786
Grenada,0.5966900638721443
Guatemala,0.4394976362914582
Guinea,0.40879426515074235
Guyana,0.4997677812194787
Haiti,0.3237601524632399
Honduras,0.4113941246838727
"Hong Kong SAR, China",0.7182424232390857
Hungary,0.5026043717823747
India,0.4889874117942547
Indonesia,0.5238769480091585
"Iran, Islamic Rep.",0.3824652806402067
Ireland,0.8234931017358411
Italy,0.6565117521223798
Jamaica,0.5698612408816618
Japan,0.7836749111025177
Jordan,0.5515800132943014
Kazakhstan,0.5363161021036761
Kenya,0.450689603936433
"Korea, Rep.",0.7432429153789054
Kosovo,0.5609856646489056
Kuwait,0.5789873506737997
Kyrgyz Republic,0.44826868527594577
Latvia,0.7334818172780768
Lebanon,0.44185147103438416
Liberia,0.4414482478037595
Lithuania,0.774188243399683
Luxembourg,0.829778472730148
Madagascar,0.43209548686966914
Malawi,0.5198790162331688
Malaysia,0.5699563285867612
Mali,0.38519027542076867
Malta,0.669783169319724
Mauritania,0.3617779534505188
Mauritius,0.6035194213832193
Mexico,0.4031129691885817
Moldova,0.5304462033628031
Mongolia,0.5322049489890701
Montenegro,0.570892626895258
Morocco,0.4806151047785714
Mozambique,0.37387315252038317
Myanmar,0.33605103770430983
Namibia,0.6087796205952317
Nepal,0.5192691046500197
Netherlands,0.8208596995670407
New Zealand,0.8339447083700938
Nicaragua,0.3312418483433213
Niger,0.41672596698960235
Nigeria,0.40565445629877217
North Macedonia,0.5413396425945458
Norway,0.8902625541148296
Pakistan,0.37050435509031604
Panama,0.5186646852504293
Paraguay,0.45373800498644873
Peru,0.4765625423000019
Philippines,0.46245548248545015
Poland,0.6622297755788635
Portugal,0.6738410010612361
Qatar,0.6169863072756003
Romania,0.6129921547866366
Russian Federation,0.4073179345375559
Rwanda,0.6338726993230965
Senegal,0.5610995059509087
Serbia,0.46606863049601005
Sierra Leone,0.4398198469340317
Singapore,0.783344101658332
Slovak Republic,0.6434989457691576
Slovenia,0.683404497476305
South Africa,0.559448543742347
Spain,0.7106082834859743
Sri Lanka,0.5121272372949368
St. Kitts and Nevis,0.6325645386094989
St. Lucia,0.6150157742361599
St. Vincent and the Grenadines,0.6150593539126046
Sudan,0.3369474258386952
Suriname,0.49495844875008055
Sweden,0.8522744905099878
Tanzania,0.46076398087193693
Thailand,0.5028866955505675
Togo,0.4325921083383099
Trinidad and Tobago,0.5113383624688866
Tunisia,0.4898297832535067
Türkiye,0.40770137011278934
Uganda,0.3840263615629928
Ukraine,0.48365438526953886
United Arab Emirates,0.6398488796510956
United Kingdom,0.7844732851369338
United States,0.6797733211318248
Uruguay,0.718278575309445
Uzbekistan,0.4968762526858137
"Venezuela, RB",0.2597410505231185
Vietnam,0.49549632863439497
Zambia,0.4499189599194137
Zimbabwe,0.3927719785634252
