RANK,COUNTRY,RES_SCORE,RES_TIER
139,Chad,12.472899586972698,Fragile
140,Myanmar,12.472868872500062,Fragile
141,Zambia,12.47056188662726,Fragile
142,"Micronesia, Federated States of",12.469352790217773,Fragile
143,Haiti,12.466913208569723,Fragile
144,Gabon,12.464603278008205,Fragile
145,Côte d'Ivoire,12.461989694511752,Fragile
146,"Tanzania, United Republic of",12.46178872983402,Fragile
147,Uganda,12.45849783768281,Fragile
148,Tuvalu,12.458397990624302,Fragile
149,Mali,12.457105397097532,Fragile
150,"Congo, Democratic Republic of the",12.456364181036317,Fragile
151,Samoa,12.455406847106707,Fragile
152,"Eswatini, Kingdom of",12.45423849702102,Fragile
153,Sudan,12.453524707141192,Fragile
154,Botswana,12.45206510118301,Fragile
155,Togo,12.448735355089156,Fragile
156,Central African Republic,12.44702428821722,Fragile
157,Bangladesh,12.446554534155174,Fragile
158,"Comoros, Union of the",12.445651324833227,Fragile
159,"Lesotho, Kingdom of",12.445626482851283,Fragile
160,Algeria,12.442812560672463,Fragile
161,Burundi,12.441326157758745,Fragile
162,Solomon Islands,12.439427851775397,Fragile
163,St. Lucia,12.439393542910148,Fragile
164,"São Tomé and Príncipe, Democratic Republic of",12.439235317308988,Fragile
165,"Ethiopia, The Federal Democratic Republic of",12.4372884888305,Fragile
166,"Gambia, The",12.436860120045925,Fragile
167,Benin,12.435961176041891,Fragile
168,"Congo, Republic of",12.434273958699633,Fragile
169,Guinea-Bissau,12.433908169362017,Fragile
170,Jamaica,12.432336055298359,Fragile
171,"Madagascar, Republic of",12.430175212617348,Fragile
172,Tunisia,12.42901015227005,Fragile
173,Cameroon,12.42642713244106,Fragile
174,Niger,12.42625736919443,Fragile
175,"Mauritania, Islamic Republic of",12.4254687552785,Fragile
176,Tonga,12.424974936688264,Fragile
177,Senegal,12.424301887565623,Fragile
178,"Yemen, Republic of",12.423555298942698,Fragile
179,Vanuatu,12.42113937714807,Fragile
180,Kenya,12.413345454940464,Fragile
181,Somalia,12.412089653501068,Fragile
182,Iraq,12.403519602189872,Fragile
183,"Kosovo, Republic of",12.401424132971,Fragile
184,Antigua and Barbuda,12.401400401549974,Fragile
185,Liberia,12.397520887959255,Fragile
186,Rwanda,12.391471670077259,Fragile
187,St. Kitts and Nevis,12.382830147880995,Fragile
188,Sub-Saharan Africa (SSA),12.380480261655286,Fragile
189,Malawi,12.375985290882902,Fragile
190,"Palau, Republic of",12.374035061883848,Fragile
191,Kiribati,12.371504342558145,Fragile
